cell_id	clone_id	dataset_id
SA906-A96211C-R54-C15	B	SA906b
SA906-A96211C-R54-C16	I	SA906b
SA906-A96211C-R54-C18	D	SA906b
SA906-A96211C-R54-C19	K	SA906b
SA906-A96211C-R54-C20	F	SA906b
SA906-A96211C-R54-C21	B	SA906b
SA906-A96211C-R54-C23	B	SA906b
SA906-A96211C-R54-C24	B	SA906b
SA906-A96211C-R54-C25	A	SA906b
SA906-A96211C-R54-C26	C	SA906b
SA906-A96211C-R54-C27	C	SA906b
SA906-A96211C-R54-C28	F	SA906b
SA906-A96211C-R54-C29	D	SA906b
SA906-A96211C-R54-C30	K	SA906b
SA906-A96211C-R54-C32	D	SA906b
SA906-A96211C-R54-C33	E	SA906b
SA906-A96211C-R54-C34	C	SA906b
SA906-A96211C-R54-C35	D	SA906b
SA906-A96211C-R54-C36	I	SA906b
SA906-A96211C-R54-C37	D	SA906b
SA906-A96211C-R54-C39	J	SA906b
SA906-A96211C-R54-C40	I	SA906b
SA906-A96211C-R54-C42	G	SA906b
SA906-A96211C-R54-C43	D	SA906b
SA906-A96211C-R54-C44	E	SA906b
SA906-A96211C-R54-C45	D	SA906b
SA906-A96211C-R54-C46	I	SA906b
SA906-A96211C-R54-C50	G	SA906b
SA906-A96211C-R54-C51	J	SA906b
SA906-A96211C-R54-C52	D	SA906b
SA906-A96211C-R54-C53	I	SA906b
SA906-A96211C-R54-C54	K	SA906b
SA906-A96211C-R54-C55	D	SA906b
SA906-A96211C-R54-C58	J	SA906b
SA906-A96211C-R54-C60	I	SA906b
SA906-A96211C-R54-C64	B	SA906b
SA906-A96211C-R54-C65	D	SA906b
SA906-A96211C-R54-C66	I	SA906b
SA906-A96211C-R54-C67	G	SA906b
SA906-A96211C-R54-C69	B	SA906b
SA906-A96211C-R55-C07	D	SA906b
SA906-A96211C-R55-C08	E	SA906b
SA906-A96211C-R55-C09	D	SA906b
SA906-A96211C-R55-C10	I	SA906b
SA906-A96211C-R55-C11	J	SA906b
SA906-A96211C-R55-C12	D	SA906b
SA906-A96211C-R55-C14	I	SA906b
SA906-A96211C-R55-C15	C	SA906b
SA906-A96211C-R55-C16	F	SA906b
SA906-A96211C-R55-C18	K	SA906b
SA906-A96211C-R55-C19	I	SA906b
SA906-A96211C-R55-C20	D	SA906b
SA906-A96211C-R55-C21	I	SA906b
SA906-A96211C-R55-C22	D	SA906b
SA906-A96211C-R55-C24	C	SA906b
SA906-A96211C-R55-C25	G	SA906b
SA906-A96211C-R55-C26	G	SA906b
SA906-A96211C-R55-C27	I	SA906b
SA906-A96211C-R55-C30	A	SA906b
SA906-A96211C-R55-C32	I	SA906b
SA906-A96211C-R55-C34	D	SA906b
SA906-A96211C-R55-C35	B	SA906b
SA906-A96211C-R55-C36	H	SA906b
SA906-A96211C-R55-C37	K	SA906b
SA906-A96211C-R55-C38	B	SA906b
SA906-A96211C-R55-C40	H	SA906b
SA906-A96211C-R55-C41	D	SA906b
SA906-A96211C-R55-C42	H	SA906b
SA906-A96211C-R55-C43	I	SA906b
SA906-A96211C-R55-C44	D	SA906b
SA906-A96211C-R55-C45	D	SA906b
SA906-A96211C-R55-C47	K	SA906b
SA906-A96211C-R55-C48	I	SA906b
SA906-A96211C-R55-C49	J	SA906b
SA906-A96211C-R55-C50	I	SA906b
SA906-A96211C-R55-C51	G	SA906b
SA906-A96211C-R55-C52	C	SA906b
SA906-A96211C-R55-C53	I	SA906b
SA906-A96211C-R55-C54	K	SA906b
SA906-A96211C-R55-C55	E	SA906b
SA906-A96211C-R55-C56	J	SA906b
SA906-A96211C-R55-C57	I	SA906b
SA906-A96211C-R55-C58	K	SA906b
SA906-A96211C-R55-C59	D	SA906b
SA906-A96211C-R55-C60	D	SA906b
SA906-A96211C-R55-C61	B	SA906b
SA906-A96211C-R55-C65	C	SA906b
SA906-A96211C-R55-C66	H	SA906b
SA906-A96211C-R55-C67	J	SA906b
SA906-A96211C-R55-C68	I	SA906b
SA906-A96211C-R55-C69	G	SA906b
SA906-A96211C-R55-C70	J	SA906b
SA906-A96211C-R56-C07	C	SA906b
SA906-A96211C-R56-C08	G	SA906b
SA906-A96211C-R56-C10	K	SA906b
SA906-A96211C-R56-C11	I	SA906b
SA906-A96211C-R56-C12	D	SA906b
SA906-A96211C-R56-C13	I	SA906b
SA906-A96211C-R56-C14	B	SA906b
SA906-A96211C-R56-C16	J	SA906b
SA906-A96211C-R56-C17	C	SA906b
SA906-A96211C-R56-C18	I	SA906b
SA906-A96211C-R56-C19	C	SA906b
SA906-A96211C-R56-C20	I	SA906b
SA906-A96211C-R56-C21	K	SA906b
SA906-A96211C-R56-C23	I	SA906b
SA906-A96211C-R56-C24	B	SA906b
SA906-A96211C-R56-C25	J	SA906b
SA906-A96211C-R56-C26	I	SA906b
