cell_id	clone_id	dataset_id
SA1055-A95621A-R04-C07	D	SA1055
SA1055-A95621A-R04-C08	D	SA1055
SA1055-A95621A-R04-C11	D	SA1055
SA1055-A95621A-R04-C13	A	SA1055
SA1055-A95621A-R04-C14	A	SA1055
SA1055-A95621A-R04-C15	B	SA1055
SA1055-A95621A-R04-C16	D	SA1055
SA1055-A95621A-R04-C17	D	SA1055
SA1055-A95621A-R04-C18	D	SA1055
SA1055-A95621A-R04-C19	B	SA1055
SA1055-A95621A-R04-C20	A	SA1055
SA1055-A95621A-R04-C21	D	SA1055
SA1055-A95621A-R04-C22	D	SA1055
SA1055-A95621A-R04-C23	D	SA1055
SA1055-A95621A-R04-C26	D	SA1055
SA1055-A95621A-R04-C29	A	SA1055
SA1055-A95621A-R04-C35	D	SA1055
SA1055-A95621A-R04-C38	D	SA1055
SA1055-A95621A-R04-C42	D	SA1055
SA1055-A95621A-R04-C49	D	SA1055
SA1055-A95621A-R04-C50	C	SA1055
SA1055-A95621A-R06-C30	D	SA1055
SA1055-A95621A-R06-C33	D	SA1055
SA1055-A95621A-R06-C34	D	SA1055
SA1055-A95621A-R06-C35	E	SA1055
SA1055-A95621A-R06-C37	C	SA1055
SA1055-A95621A-R06-C38	C	SA1055
SA1055-A95621A-R06-C39	D	SA1055
SA1055-A95621A-R06-C40	B	SA1055
SA1055-A95621A-R06-C41	D	SA1055
SA1055-A95621A-R06-C42	D	SA1055
SA1055-A95621A-R06-C44	E	SA1055
SA1055-A95621A-R06-C46	D	SA1055
SA1055-A95621A-R06-C47	D	SA1055
SA1055-A95621A-R06-C48	C	SA1055
SA1055-A95621A-R06-C49	A	SA1055
SA1055-A95621A-R06-C50	E	SA1055
SA1055-A95621A-R06-C51	C	SA1055
SA1055-A95621A-R06-C52	D	SA1055
SA1055-A95621A-R06-C54	D	SA1055
SA1055-A95621A-R06-C55	D	SA1055
SA1055-A95621A-R06-C56	D	SA1055
SA1055-A95621A-R06-C57	C	SA1055
SA1055-A95621A-R06-C58	D	SA1055
SA1055-A95621A-R06-C59	D	SA1055
SA1055-A95621A-R06-C60	D	SA1055
SA1055-A95621A-R06-C62	D	SA1055
SA1055-A95621A-R06-C63	D	SA1055
SA1055-A95621A-R06-C66	C	SA1055
SA1055-A95621A-R06-C67	D	SA1055
SA1055-A95621A-R06-C69	D	SA1055
SA1055-A95621A-R07-C07	D	SA1055
SA1055-A95621A-R07-C08	A	SA1055
SA1055-A95621A-R07-C10	D	SA1055
SA1055-A95621A-R07-C14	A	SA1055
SA1055-A95621A-R07-C15	D	SA1055
SA1055-A95621A-R07-C19	C	SA1055
SA1055-A95621A-R07-C21	B	SA1055
SA1055-A95621A-R07-C22	D	SA1055
SA1055-A95621A-R07-C23	E	SA1055
SA1055-A95621A-R07-C24	C	SA1055
SA1055-A95621A-R07-C25	D	SA1055
SA1055-A95621A-R07-C27	E	SA1055
SA1055-A95621A-R07-C28	D	SA1055
SA1055-A95621A-R07-C29	C	SA1055
SA1055-A95621A-R07-C30	D	SA1055
SA1055-A95621A-R07-C31	D	SA1055
SA1055-A95621A-R07-C32	D	SA1055
SA1055-A95621A-R07-C34	D	SA1055
SA1055-A95621A-R07-C36	D	SA1055
SA1055-A95621A-R07-C39	D	SA1055
SA1055-A95621A-R07-C40	D	SA1055
SA1055-A95621A-R07-C41	D	SA1055
SA1055-A95621A-R07-C44	D	SA1055
SA1055-A95621A-R07-C45	D	SA1055
SA1055-A95621A-R07-C46	A	SA1055
SA1055-A95621A-R07-C47	C	SA1055
SA1055-A95621A-R07-C48	D	SA1055
SA1055-A95621A-R07-C49	A	SA1055
SA1055-A95621A-R07-C51	E	SA1055
SA1055-A95621A-R07-C54	D	SA1055
SA1055-A95621A-R07-C57	D	SA1055
SA1055-A95621A-R07-C58	B	SA1055
SA1055-A95621A-R07-C59	D	SA1055
SA1055-A95621A-R07-C60	C	SA1055
SA1055-A95621A-R07-C61	D	SA1055
SA1055-A95621A-R07-C62	D	SA1055
SA1055-A95621A-R07-C64	E	SA1055
SA1055-A95621A-R07-C65	D	SA1055
SA1055-A95621A-R07-C67	D	SA1055
SA1055-A95621A-R07-C68	D	SA1055
SA1055-A95621A-R07-C69	D	SA1055
SA1055-A95621A-R07-C70	C	SA1055
SA1055-A95621A-R08-C07	B	SA1055
SA1055-A95621A-R08-C08	A	SA1055
SA1055-A95621A-R08-C09	E	SA1055
SA1055-A95621A-R08-C10	A	SA1055
SA1055-A95621A-R08-C13	D	SA1055
SA1055-A95621A-R08-C16	D	SA1055
SA1055-A95621A-R08-C17	D	SA1055
SA1055-A95621A-R08-C18	A	SA1055
SA1055-A95621A-R08-C21	D	SA1055
SA1055-A95621A-R08-C22	D	SA1055
SA1055-A95621A-R08-C23	D	SA1055
SA1055-A95621A-R08-C24	D	SA1055
SA1055-A95621A-R08-C28	D	SA1055
SA1055-A95621A-R08-C32	D	SA1055
SA1055-A95621A-R08-C34	D	SA1055
SA1055-A95621A-R08-C35	D	SA1055
SA1055-A95621A-R08-C36	D	SA1055
SA1055-A95621A-R08-C37	D	SA1055
SA1055-A95621A-R08-C38	D	SA1055
SA1055-A95621A-R08-C39	C	SA1055
SA1055-A95621A-R08-C41	A	SA1055
SA1055-A95621A-R08-C42	D	SA1055
SA1055-A95621A-R08-C43	C	SA1055
SA1055-A95621A-R08-C45	D	SA1055
SA1055-A95621A-R08-C46	D	SA1055
SA1055-A95621A-R08-C47	D	SA1055
SA1055-A95621A-R08-C49	D	SA1055
SA1055-A95621A-R08-C50	D	SA1055
SA1055-A95621A-R08-C51	C	SA1055
SA1055-A95621A-R08-C55	D	SA1055
SA1055-A95621A-R08-C56	D	SA1055
SA1055-A95621A-R08-C61	D	SA1055
SA1055-A95621A-R08-C62	A	SA1055
SA1055-A95621A-R08-C63	C	SA1055
SA1055-A95621A-R08-C64	D	SA1055
SA1055-A95621A-R08-C65	C	SA1055
SA1055-A95621A-R08-C66	D	SA1055
SA1055-A95621A-R08-C67	A	SA1055
SA1055-A95621A-R08-C69	D	SA1055
SA1055-A95621A-R08-C70	D	SA1055
SA1055-A95621A-R09-C07	D	SA1055
SA1055-A95621A-R09-C08	D	SA1055
SA1055-A95621A-R09-C09	D	SA1055
SA1055-A95621A-R09-C10	D	SA1055
SA1055-A95621A-R09-C11	E	SA1055
SA1055-A95621A-R09-C13	D	SA1055
SA1055-A95621A-R09-C15	B	SA1055
SA1055-A95621A-R09-C18	C	SA1055
SA1055-A95621A-R09-C19	D	SA1055
SA1055-A95621A-R09-C20	D	SA1055
SA1055-A95621A-R09-C21	D	SA1055
SA1055-A95621A-R09-C22	C	SA1055
SA1055-A95621A-R09-C23	A	SA1055
SA1055-A95621A-R09-C24	D	SA1055
SA1055-A95621A-R09-C25	D	SA1055
SA1055-A95621A-R09-C27	D	SA1055
SA1055-A95621A-R09-C28	A	SA1055
SA1055-A95621A-R09-C29	D	SA1055
SA1055-A95621A-R09-C30	D	SA1055
SA1055-A95621A-R09-C31	C	SA1055
SA1055-A95621A-R09-C33	E	SA1055
SA1055-A95621A-R09-C34	D	SA1055
SA1055-A95621A-R09-C35	D	SA1055
SA1055-A95621A-R09-C37	D	SA1055
SA1055-A95621A-R09-C39	D	SA1055
SA1055-A95621A-R09-C41	D	SA1055
SA1055-A95621A-R09-C43	D	SA1055
SA1055-A95621A-R09-C44	D	SA1055
SA1055-A95621A-R09-C47	E	SA1055
SA1055-A95621A-R09-C48	D	SA1055
SA1055-A95621A-R09-C49	D	SA1055
SA1055-A95621A-R09-C50	D	SA1055
SA1055-A95621A-R09-C51	D	SA1055
