cell_id	clone_id	dataset_id
SA1188-A95618B-R45-C08	F	SA1188
SA1188-A95618B-R45-C14	F	SA1188
SA1188-A95618B-R45-C16	A	SA1188
SA1188-A95618B-R45-C17	F	SA1188
SA1188-A95618B-R45-C18	D	SA1188
SA1188-A95618B-R45-C20	A	SA1188
SA1188-A95618B-R45-C23	A	SA1188
SA1188-A95618B-R45-C24	E	SA1188
SA1188-A95618B-R45-C27	A	SA1188
SA1188-A95618B-R45-C28	E	SA1188
SA1188-A95618B-R45-C29	E	SA1188
SA1188-A95618B-R45-C30	A	SA1188
SA1188-A95618B-R45-C32	A	SA1188
SA1188-A95618B-R45-C33	A	SA1188
SA1188-A95618B-R45-C35	E	SA1188
SA1188-A95618B-R45-C37	F	SA1188
SA1188-A95618B-R45-C38	E	SA1188
SA1188-A95618B-R45-C41	F	SA1188
SA1188-A95618B-R45-C42	A	SA1188
SA1188-A95618B-R45-C45	A	SA1188
SA1188-A95618B-R45-C46	E	SA1188
SA1188-A95618B-R45-C47	E	SA1188
SA1188-A95618B-R45-C48	E	SA1188
SA1188-A95618B-R45-C50	F	SA1188
SA1188-A95618B-R45-C52	E	SA1188
SA1188-A95618B-R45-C55	A	SA1188
SA1188-A95618B-R45-C56	A	SA1188
SA1188-A95618B-R45-C57	A	SA1188
SA1188-A95618B-R45-C58	F	SA1188
SA1188-A95618B-R45-C59	A	SA1188
SA1188-A95618B-R45-C64	E	SA1188
SA1188-A95618B-R45-C69	A	SA1188
SA1188-A95618B-R46-C07	F	SA1188
SA1188-A95618B-R46-C08	F	SA1188
SA1188-A95618B-R46-C10	B	SA1188
SA1188-A95618B-R46-C11	D	SA1188
SA1188-A95618B-R46-C12	C	SA1188
SA1188-A95618B-R46-C13	A	SA1188
SA1188-A95618B-R46-C14	A	SA1188
SA1188-A95618B-R46-C17	D	SA1188
SA1188-A95618B-R46-C18	E	SA1188
SA1188-A95618B-R46-C19	E	SA1188
SA1188-A95618B-R46-C20	A	SA1188
SA1188-A95618B-R46-C21	A	SA1188
SA1188-A95618B-R46-C22	A	SA1188
SA1188-A95618B-R46-C23	C	SA1188
SA1188-A95618B-R46-C24	A	SA1188
SA1188-A95618B-R46-C26	C	SA1188
SA1188-A95618B-R46-C27	A	SA1188
