cell_id	clone_id	dataset_id
SA039-A73047D-R39-C10	A	SA039
SA039-A73047D-R39-C17	C	SA039
SA039-A73047D-R39-C22	B	SA039
SA039-A73047D-R39-C46	C	SA039
SA039-A73047D-R39-C49	B	SA039
SA039-A73047D-R39-C52	C	SA039
SA039-A73047D-R39-C53	A	SA039
SA039-A73047D-R39-C54	A	SA039
SA039-A73047D-R39-C59	A	SA039
SA039-A73047D-R39-C65	A	SA039
SA039-A73047D-R39-C67	A	SA039
SA039-A73047D-R39-C68	A	SA039
SA039-A73047D-R39-C70	C	SA039
SA039-A73047D-R40-C27	B	SA039
SA039-A73047D-R40-C33	A	SA039
SA039-A73047D-R40-C45	A	SA039
SA039-A73047D-R40-C50	B	SA039
SA039-A73047D-R40-C52	C	SA039
SA039-A73047D-R40-C53	A	SA039
SA039-A73047D-R40-C54	C	SA039
SA039-A73047D-R40-C57	B	SA039
SA039-A73047D-R40-C58	B	SA039
SA039-A73047D-R40-C59	B	SA039
SA039-A73047D-R40-C60	B	SA039
SA039-A73047D-R40-C62	A	SA039
SA039-A73047D-R40-C63	B	SA039
SA039-A73047D-R40-C64	B	SA039
SA039-A73047D-R40-C65	A	SA039
SA039-A73047D-R40-C66	A	SA039
SA039-A73047D-R40-C70	B	SA039
SA039-A73047D-R41-C11	A	SA039
SA039-A73047D-R41-C13	A	SA039
SA039-A73047D-R41-C17	B	SA039
SA039-A73047D-R41-C19	B	SA039
SA039-A73047D-R41-C22	C	SA039
SA039-A73047D-R41-C24	A	SA039
SA039-A73047D-R41-C38	A	SA039
SA039-A73047D-R41-C42	C	SA039
SA039-A73047D-R41-C43	A	SA039
SA039-A73047D-R41-C45	C	SA039
SA039-A73047D-R41-C47	A	SA039
SA039-A73047D-R41-C50	A	SA039
SA039-A73047D-R41-C58	B	SA039
SA039-A73047D-R41-C61	B	SA039
SA039-A73047D-R41-C63	C	SA039
SA039-A73047D-R42-C20	B	SA039
SA039-A73047D-R42-C27	B	SA039
SA039-A73047D-R42-C29	C	SA039
SA039-A73047D-R42-C30	A	SA039
SA039-A73047D-R42-C37	B	SA039
SA039-A73047D-R42-C52	B	SA039
SA039-A73047D-R42-C53	B	SA039
SA039-A73047D-R42-C55	A	SA039
SA039-A73047D-R42-C56	C	SA039
SA039-A73047D-R42-C59	B	SA039
SA039-A73047D-R42-C62	A	SA039
SA039-A73047D-R42-C68	B	SA039
SA039-A73047D-R43-C07	C	SA039
SA039-A73047D-R43-C13	C	SA039
SA039-A73047D-R43-C16	C	SA039
SA039-A73047D-R43-C18	A	SA039
SA039-A73047D-R43-C20	A	SA039
SA039-A73047D-R43-C21	A	SA039
SA039-A73047D-R43-C22	B	SA039
SA039-A73047D-R43-C27	A	SA039
SA039-A73047D-R43-C28	C	SA039
SA039-A73047D-R43-C33	C	SA039
SA039-A73047D-R43-C34	C	SA039
SA039-A73047D-R43-C35	B	SA039
SA039-A73047D-R43-C36	A	SA039
SA039-A73047D-R43-C45	A	SA039
SA039-A73047D-R43-C46	A	SA039
SA039-A73047D-R43-C47	C	SA039
SA039-A73047D-R43-C51	A	SA039
SA039-A73047D-R43-C53	B	SA039
SA039-A73047D-R43-C55	B	SA039
SA039-A73047D-R43-C58	B	SA039
SA039-A73047D-R43-C59	B	SA039
SA039-A73047D-R43-C61	B	SA039
SA039-A73047D-R43-C62	B	SA039
SA039-A73047D-R43-C63	B	SA039
SA039-A73047D-R43-C64	B	SA039
SA039-A73047D-R43-C65	C	SA039
SA039-A73047D-R43-C66	C	SA039
SA039-A73047D-R43-C68	A	SA039
SA039-A73047D-R43-C69	A	SA039
SA039-A73047D-R44-C07	B	SA039
SA039-A73047D-R44-C08	B	SA039
SA039-A73047D-R44-C09	B	SA039
SA039-A73047D-R44-C11	A	SA039
SA039-A73047D-R44-C17	C	SA039
SA039-A73047D-R44-C19	C	SA039
SA039-A73047D-R44-C27	C	SA039
SA039-A73047D-R44-C29	C	SA039
SA039-A73047D-R44-C31	A	SA039
SA039-A73047D-R44-C32	A	SA039
SA039-A73047D-R44-C33	B	SA039
SA039-A73047D-R44-C34	B	SA039
SA039-A73047D-R44-C47	B	SA039
SA039-A73047D-R44-C48	A	SA039
SA039-A73047D-R44-C50	A	SA039
SA039-A73047D-R44-C51	A	SA039
SA039-A73047D-R44-C55	B	SA039
SA039-A73047D-R44-C58	A	SA039
SA039-A73047D-R44-C62	B	SA039
SA039-A73047D-R44-C63	C	SA039
SA039-A73047D-R44-C64	C	SA039
SA039-A73047D-R44-C65	C	SA039
SA039-A73047D-R44-C66	A	SA039
