cell_id	clone_id	dataset_id
SA906-A96175C-R53-C10	L	SA906a
SA906-A96175C-R53-C12	C	SA906a
SA906-A96175C-R53-C15	C	SA906a
SA906-A96175C-R53-C16	J	SA906a
SA906-A96175C-R53-C18	L	SA906a
SA906-A96175C-R53-C20	G	SA906a
SA906-A96175C-R53-C21	D	SA906a
SA906-A96175C-R53-C23	B	SA906a
SA906-A96175C-R53-C25	B	SA906a
SA906-A96175C-R53-C27	J	SA906a
SA906-A96175C-R53-C31	G	SA906a
SA906-A96175C-R53-C33	D	SA906a
SA906-A96175C-R53-C34	G	SA906a
SA906-A96175C-R53-C35	G	SA906a
SA906-A96175C-R53-C37	F	SA906a
SA906-A96175C-R53-C39	E	SA906a
SA906-A96175C-R53-C47	E	SA906a
SA906-A96175C-R53-C54	I	SA906a
SA906-A96175C-R53-C55	E	SA906a
SA906-A96175C-R53-C58	G	SA906a
SA906-A96175C-R53-C59	B	SA906a
SA906-A96175C-R53-C61	G	SA906a
SA906-A96175C-R53-C62	K	SA906a
SA906-A96175C-R53-C63	K	SA906a
SA906-A96175C-R53-C64	G	SA906a
SA906-A96175C-R54-C08	G	SA906a
SA906-A96175C-R54-C09	J	SA906a
SA906-A96175C-R54-C10	L	SA906a
SA906-A96175C-R54-C11	B	SA906a
SA906-A96175C-R54-C12	B	SA906a
SA906-A96175C-R54-C13	D	SA906a
SA906-A96175C-R54-C14	C	SA906a
SA906-A96175C-R54-C17	G	SA906a
SA906-A96175C-R54-C19	J	SA906a
SA906-A96175C-R54-C22	L	SA906a
SA906-A96175C-R54-C24	K	SA906a
SA906-A96175C-R54-C25	J	SA906a
SA906-A96175C-R54-C27	L	SA906a
SA906-A96175C-R54-C29	B	SA906a
SA906-A96175C-R54-C33	L	SA906a
SA906-A96175C-R54-C34	D	SA906a
SA906-A96175C-R54-C38	B	SA906a
SA906-A96175C-R54-C40	B	SA906a
SA906-A96175C-R54-C41	J	SA906a
SA906-A96175C-R54-C42	C	SA906a
SA906-A96175C-R54-C43	J	SA906a
SA906-A96175C-R54-C46	I	SA906a
SA906-A96175C-R54-C47	F	SA906a
SA906-A96175C-R54-C57	G	SA906a
SA906-A96175C-R54-C58	C	SA906a
SA906-A96175C-R54-C59	F	SA906a
