,isabl_patient_id,isabl_sample_id,isabl_aliquot_id,isabl_pk,isabl_application,isabl_version,technique_category,technique_method,technique_name,sample_category,num_targets,version,result_type,result_filepath
18,SA532,SA532X2XB00147,SA532_SA532X2XB00147_A96165A_L2,8662,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,params,/juno/work/shah/isabl_data_lake/analyses/86/62/8662/results/A96165A_params.csv.gz
19,SA532,SA532X2XB00147,SA532_SA532X2XB00147_A96165A_L2,8662,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,metadata,/juno/work/shah/isabl_data_lake/analyses/86/62/8662/results/metadata.yaml
20,SA532,SA532X2XB00147,SA532_SA532X2XB00147_A96165A_L2,8662,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,segments,/juno/work/shah/isabl_data_lake/analyses/86/62/8662/results/A96165A_segments.csv.gz
21,SA532,SA532X2XB00147,SA532_SA532X2XB00147_A96165A_L2,8662,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,command_err,/juno/work/shah/isabl_data_lake/analyses/86/62/8662/head_job.err
22,SA532,SA532X2XB00147,SA532_SA532X2XB00147_A96165A_L2,8662,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,command_log,/juno/work/shah/isabl_data_lake/analyses/86/62/8662/head_job.log
23,SA532,SA532X2XB00147,SA532_SA532X2XB00147_A96165A_L2,8662,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,hmmcopy_data,/juno/work/shah/isabl_data_lake/analyses/86/62/8662/results/A96165A_hmmcopy_data.tar.gz
24,SA532,SA532X2XB00147,SA532_SA532X2XB00147_A96165A_L2,8662,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,igv_segments,/juno/work/shah/isabl_data_lake/analyses/86/62/8662/results/A96165A_igv_segments.seg
25,SA532,SA532X2XB00147,SA532_SA532X2XB00147_A96165A_L2,8662,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,heatmap_by_ec,/juno/work/shah/isabl_data_lake/analyses/86/62/8662/results/A96165A_heatmap_by_ec.pdf
26,SA532,SA532X2XB00147,SA532_SA532X2XB00147_A96165A_L2,8662,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,command_script,/juno/work/shah/isabl_data_lake/analyses/86/62/8662/head_job.sh
27,SA532,SA532X2XB00147,SA532_SA532X2XB00147_A96165A_L2,8662,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,kernel_density,/juno/work/shah/isabl_data_lake/analyses/86/62/8662/results/A96165A_kernel_density.pdf
28,SA532,SA532X2XB00147,SA532_SA532X2XB00147_A96165A_L2,8662,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,hmmcopy_metrics_csv,/juno/work/shah/isabl_data_lake/analyses/86/62/8662/results/A96165A_hmmcopy_metrics.csv.gz
29,SA532,SA532X2XB00147,SA532_SA532X2XB00147_A96165A_L2,8662,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,hmmcopy_metrics_pdf,/juno/work/shah/isabl_data_lake/analyses/86/62/8662/results/A96165A_hmmcopy_metrics.pdf
30,SA532,SA532X1XB00118,SA532_SA532X1XB00118_A96157C_L2,8663,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,bias,/juno/work/shah/isabl_data_lake/analyses/86/63/8663/results/A96157C_bias.tar.gz
31,SA532,SA532X1XB00118,SA532_SA532X1XB00118_A96157C_L2,8663,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,segs,/juno/work/shah/isabl_data_lake/analyses/86/63/8663/results/A96157C_segs.tar.gz
32,SA532,SA532X1XB00118,SA532_SA532X1XB00118_A96157C_L2,8663,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,reads,/juno/work/shah/isabl_data_lake/analyses/86/63/8663/results/A96157C_reads.csv.gz
33,SA532,SA532X1XB00118,SA532_SA532X1XB00118_A96157C_L2,8663,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,params,/juno/work/shah/isabl_data_lake/analyses/86/63/8663/results/A96157C_params.csv.gz
34,SA532,SA532X1XB00118,SA532_SA532X1XB00118_A96157C_L2,8663,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,metadata,/juno/work/shah/isabl_data_lake/analyses/86/63/8663/results/metadata.yaml
35,SA532,SA532X1XB00118,SA532_SA532X1XB00118_A96157C_L2,8663,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,segments,/juno/work/shah/isabl_data_lake/analyses/86/63/8663/results/A96157C_segments.csv.gz
36,SA532,SA532X1XB00118,SA532_SA532X1XB00118_A96157C_L2,8663,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,command_err,/juno/work/shah/isabl_data_lake/analyses/86/63/8663/head_job.err
37,SA532,SA532X1XB00118,SA532_SA532X1XB00118_A96157C_L2,8663,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,command_log,/juno/work/shah/isabl_data_lake/analyses/86/63/8663/head_job.log
38,SA532,SA532X1XB00118,SA532_SA532X1XB00118_A96157C_L2,8663,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,hmmcopy_data,/juno/work/shah/isabl_data_lake/analyses/86/63/8663/results/A96157C_hmmcopy_data.tar.gz
39,SA532,SA532X1XB00118,SA532_SA532X1XB00118_A96157C_L2,8663,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,igv_segments,/juno/work/shah/isabl_data_lake/analyses/86/63/8663/results/A96157C_igv_segments.seg
40,SA532,SA532X1XB00118,SA532_SA532X1XB00118_A96157C_L2,8663,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,heatmap_by_ec,/juno/work/shah/isabl_data_lake/analyses/86/63/8663/results/A96157C_heatmap_by_ec.pdf
41,SA532,SA532X1XB00118,SA532_SA532X1XB00118_A96157C_L2,8663,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,command_script,/juno/work/shah/isabl_data_lake/analyses/86/63/8663/head_job.sh
42,SA532,SA532X1XB00118,SA532_SA532X1XB00118_A96157C_L2,8663,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,kernel_density,/juno/work/shah/isabl_data_lake/analyses/86/63/8663/results/A96157C_kernel_density.pdf
43,SA532,SA532X1XB00118,SA532_SA532X1XB00118_A96157C_L2,8663,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,hmmcopy_metrics_csv,/juno/work/shah/isabl_data_lake/analyses/86/63/8663/results/A96157C_hmmcopy_metrics.csv.gz
44,SA532,SA532X1XB00118,SA532_SA532X1XB00118_A96157C_L2,8663,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,hmmcopy_metrics_pdf,/juno/work/shah/isabl_data_lake/analyses/86/63/8663/results/A96157C_hmmcopy_metrics.pdf
45,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98247A_L1,8664,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,bias,/juno/work/shah/isabl_data_lake/analyses/86/64/8664/results/A98247A_bias.tar.gz
46,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98247A_L1,8664,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,segs,/juno/work/shah/isabl_data_lake/analyses/86/64/8664/results/A98247A_segs.tar.gz
47,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98247A_L1,8664,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,reads,/juno/work/shah/isabl_data_lake/analyses/86/64/8664/results/A98247A_reads.csv.gz
