cell_id	clone_id	dataset_id
SA1054-A95632A-R04-C10	E	SA1054
SA1054-A95632A-R04-C12	A	SA1054
SA1054-A95632A-R04-C13	A	SA1054
SA1054-A95632A-R04-C15	A	SA1054
SA1054-A95632A-R04-C19	E	SA1054
SA1054-A95632A-R04-C20	C	SA1054
SA1054-A95632A-R04-C21	C	SA1054
SA1054-A95632A-R04-C24	A	SA1054
SA1054-A95632A-R04-C25	A	SA1054
SA1054-A95632A-R04-C26	E	SA1054
SA1054-A95632A-R04-C29	E	SA1054
SA1054-A95632A-R04-C31	D	SA1054
SA1054-A95632A-R04-C32	A	SA1054
SA1054-A95632A-R04-C33	C	SA1054
SA1054-A95632A-R04-C34	A	SA1054
SA1054-A95632A-R04-C35	E	SA1054
SA1054-A95632A-R04-C39	A	SA1054
SA1054-A95632A-R04-C40	D	SA1054
SA1054-A95632A-R04-C48	E	SA1054
SA1054-A95632A-R04-C49	E	SA1054
SA1054-A95632A-R04-C50	D	SA1054
SA1054-A95632A-R04-C51	E	SA1054
SA1054-A95632A-R04-C52	C	SA1054
SA1054-A95632A-R04-C54	A	SA1054
SA1054-A95632A-R04-C55	A	SA1054
SA1054-A95632A-R04-C57	D	SA1054
SA1054-A95632A-R04-C61	C	SA1054
SA1054-A95632A-R04-C64	D	SA1054
SA1054-A95632A-R04-C66	B	SA1054
SA1054-A95632A-R04-C67	C	SA1054
SA1054-A95632A-R04-C68	C	SA1054
SA1054-A95632A-R04-C70	C	SA1054
SA1054-A95632A-R05-C10	E	SA1054
SA1054-A95632A-R05-C13	A	SA1054
SA1054-A95632A-R05-C17	E	SA1054
SA1054-A95632A-R05-C19	E	SA1054
SA1054-A95632A-R05-C20	C	SA1054
SA1054-A95632A-R05-C21	A	SA1054
SA1054-A95632A-R05-C24	C	SA1054
SA1054-A95632A-R05-C25	E	SA1054
SA1054-A95632A-R05-C26	C	SA1054
SA1054-A95632A-R05-C27	D	SA1054
SA1054-A95632A-R05-C29	C	SA1054
SA1054-A95632A-R05-C37	C	SA1054
SA1054-A95632A-R05-C38	B	SA1054
SA1054-A95632A-R05-C39	A	SA1054
SA1054-A95632A-R05-C43	D	SA1054
SA1054-A95632A-R05-C45	C	SA1054
SA1054-A95632A-R05-C48	B	SA1054
SA1054-A95632A-R05-C50	A	SA1054
SA1054-A95632A-R05-C51	B	SA1054
SA1054-A95632A-R05-C53	B	SA1054
SA1054-A95632A-R05-C54	E	SA1054
SA1054-A95632A-R05-C55	C	SA1054
SA1054-A95632A-R05-C59	C	SA1054
SA1054-A95632A-R05-C61	B	SA1054
SA1054-A95632A-R05-C62	E	SA1054
SA1054-A95632A-R05-C65	A	SA1054
SA1054-A95632A-R05-C66	C	SA1054
SA1054-A95632A-R05-C67	E	SA1054
SA1054-A95632A-R05-C68	B	SA1054
SA1054-A95632A-R05-C70	E	SA1054
SA1054-A95632A-R06-C13	C	SA1054
SA1054-A95632A-R06-C14	B	SA1054
SA1054-A95632A-R06-C15	B	SA1054
SA1054-A95632A-R06-C16	A	SA1054
SA1054-A95632A-R06-C18	B	SA1054
SA1054-A95632A-R06-C20	E	SA1054
SA1054-A95632A-R06-C22	C	SA1054
SA1054-A95632A-R06-C23	C	SA1054
SA1054-A95632A-R06-C28	D	SA1054
SA1054-A95632A-R06-C30	B	SA1054
SA1054-A95632A-R06-C32	D	SA1054
SA1054-A95632A-R06-C34	C	SA1054
SA1054-A95632A-R06-C35	C	SA1054
SA1054-A95632A-R06-C37	B	SA1054
SA1054-A95632A-R06-C39	E	SA1054
SA1054-A95632A-R06-C40	D	SA1054
SA1054-A95632A-R06-C41	C	SA1054
SA1054-A95632A-R06-C45	C	SA1054
SA1054-A95632A-R06-C47	E	SA1054
SA1054-A95632A-R06-C48	B	SA1054
SA1054-A95632A-R06-C49	A	SA1054
SA1054-A95632A-R06-C51	A	SA1054
SA1054-A95632A-R06-C52	B	SA1054
SA1054-A95632A-R06-C54	A	SA1054
SA1054-A95632A-R06-C56	C	SA1054
SA1054-A95632A-R06-C57	B	SA1054
SA1054-A95632A-R06-C58	B	SA1054
SA1054-A95632A-R06-C59	A	SA1054
SA1054-A95632A-R06-C61	E	SA1054
SA1054-A95632A-R06-C62	D	SA1054
SA1054-A95632A-R06-C64	E	SA1054
SA1054-A95632A-R06-C66	C	SA1054
SA1054-A95632A-R06-C68	D	SA1054
SA1054-A95632A-R06-C69	E	SA1054
SA1054-A95632A-R07-C13	D	SA1054
SA1054-A95632A-R07-C15	C	SA1054
SA1054-A95632A-R07-C17	D	SA1054
SA1054-A95632A-R07-C21	C	SA1054
SA1054-A95632A-R07-C22	C	SA1054
SA1054-A95632A-R07-C23	B	SA1054
SA1054-A95632A-R07-C25	C	SA1054
SA1054-A95632A-R07-C27	B	SA1054
SA1054-A95632A-R07-C29	E	SA1054
SA1054-A95632A-R07-C31	A	SA1054
SA1054-A95632A-R07-C34	B	SA1054
SA1054-A95632A-R07-C37	E	SA1054
SA1054-A95632A-R07-C38	B	SA1054
SA1054-A95632A-R07-C39	A	SA1054
SA1054-A95632A-R07-C40	C	SA1054
SA1054-A95632A-R07-C41	C	SA1054
SA1054-A95632A-R07-C44	C	SA1054
SA1054-A95632A-R07-C46	C	SA1054
SA1054-A95632A-R07-C48	E	SA1054
SA1054-A95632A-R07-C50	C	SA1054
SA1054-A95632A-R07-C51	C	SA1054
SA1054-A95632A-R07-C52	A	SA1054
SA1054-A95632A-R07-C54	A	SA1054
SA1054-A95632A-R07-C55	A	SA1054
SA1054-A95632A-R07-C56	E	SA1054
SA1054-A95632A-R07-C57	A	SA1054
