cell_id	clone_id	dataset_id
SA1056-A95635A-R10-C13	A	SA1056
SA1056-A95635A-R10-C15	B	SA1056
SA1056-A95635A-R10-C17	B	SA1056
SA1056-A95635A-R10-C19	B	SA1056
SA1056-A95635A-R10-C20	A	SA1056
SA1056-A95635A-R10-C22	B	SA1056
SA1056-A95635A-R10-C23	B	SA1056
SA1056-A95635A-R10-C24	B	SA1056
SA1056-A95635A-R10-C25	B	SA1056
SA1056-A95635A-R10-C29	B	SA1056
SA1056-A95635A-R10-C35	A	SA1056
SA1056-A95635A-R10-C36	B	SA1056
SA1056-A95635A-R10-C38	B	SA1056
SA1056-A95635A-R10-C44	A	SA1056
SA1056-A95635A-R10-C45	B	SA1056
SA1056-A95635A-R10-C47	A	SA1056
SA1056-A95635A-R10-C48	A	SA1056
SA1056-A95635A-R10-C49	B	SA1056
SA1056-A95635A-R10-C51	B	SA1056
SA1056-A95635A-R10-C52	A	SA1056
SA1056-A95635A-R10-C53	B	SA1056
SA1056-A95635A-R10-C54	B	SA1056
SA1056-A95635A-R10-C55	A	SA1056
SA1056-A95635A-R10-C56	B	SA1056
SA1056-A95635A-R10-C57	B	SA1056
SA1056-A95635A-R10-C58	B	SA1056
SA1056-A95635A-R10-C62	B	SA1056
SA1056-A95635A-R10-C63	B	SA1056
SA1056-A95635A-R10-C65	A	SA1056
SA1056-A95635A-R10-C66	B	SA1056
SA1056-A95635A-R10-C67	A	SA1056
SA1056-A95635A-R10-C70	B	SA1056
SA1056-A95635A-R11-C09	A	SA1056
SA1056-A95635A-R11-C10	A	SA1056
SA1056-A95635A-R11-C11	A	SA1056
SA1056-A95635A-R11-C12	B	SA1056
SA1056-A95635A-R11-C14	B	SA1056
SA1056-A95635A-R11-C16	B	SA1056
SA1056-A95635A-R11-C17	A	SA1056
SA1056-A95635A-R11-C18	B	SA1056
SA1056-A95635A-R11-C19	B	SA1056
SA1056-A95635A-R11-C20	A	SA1056
SA1056-A95635A-R11-C21	B	SA1056
SA1056-A95635A-R11-C23	B	SA1056
SA1056-A95635A-R11-C24	A	SA1056
SA1056-A95635A-R11-C25	B	SA1056
SA1056-A95635A-R11-C26	A	SA1056
SA1056-A95635A-R11-C27	A	SA1056
SA1056-A95635A-R11-C28	A	SA1056
SA1056-A95635A-R11-C29	A	SA1056
SA1056-A95635A-R11-C30	B	SA1056
SA1056-A95635A-R11-C31	A	SA1056
SA1056-A95635A-R11-C32	A	SA1056
SA1056-A95635A-R11-C34	B	SA1056
SA1056-A95635A-R11-C35	B	SA1056
SA1056-A95635A-R11-C37	B	SA1056
SA1056-A95635A-R11-C39	A	SA1056
SA1056-A95635A-R11-C40	B	SA1056
SA1056-A95635A-R11-C41	B	SA1056
SA1056-A95635A-R11-C42	B	SA1056
SA1056-A95635A-R11-C43	A	SA1056
SA1056-A95635A-R11-C45	B	SA1056
SA1056-A95635A-R11-C46	B	SA1056
SA1056-A95635A-R11-C47	B	SA1056
SA1056-A95635A-R11-C49	B	SA1056
SA1056-A95635A-R11-C50	A	SA1056
SA1056-A95635A-R11-C51	B	SA1056
SA1056-A95635A-R11-C53	A	SA1056
SA1056-A95635A-R11-C54	A	SA1056
SA1056-A95635A-R11-C55	A	SA1056
SA1056-A95635A-R11-C56	B	SA1056
SA1056-A95635A-R11-C57	A	SA1056
SA1056-A95635A-R11-C58	B	SA1056
SA1056-A95635A-R11-C59	B	SA1056
SA1056-A95635A-R11-C60	B	SA1056
SA1056-A95635A-R11-C61	A	SA1056
SA1056-A95635A-R11-C62	B	SA1056
SA1056-A95635A-R11-C64	B	SA1056
SA1056-A95635A-R11-C65	A	SA1056
SA1056-A95635A-R11-C66	B	SA1056
SA1056-A95635A-R11-C67	A	SA1056
SA1056-A95635A-R12-C09	B	SA1056
SA1056-A95635A-R12-C12	B	SA1056
SA1056-A95635A-R12-C14	B	SA1056
SA1056-A95635A-R12-C15	A	SA1056
SA1056-A95635A-R12-C17	B	SA1056
SA1056-A95635A-R12-C18	B	SA1056
SA1056-A95635A-R12-C19	A	SA1056
SA1056-A95635A-R12-C21	B	SA1056
SA1056-A95635A-R12-C22	B	SA1056
SA1056-A95635A-R12-C23	A	SA1056
SA1056-A95635A-R12-C25	B	SA1056
SA1056-A95635A-R12-C26	B	SA1056
SA1056-A95635A-R12-C28	B	SA1056
SA1056-A95635A-R12-C29	A	SA1056
SA1056-A95635A-R12-C31	A	SA1056
SA1056-A95635A-R12-C33	A	SA1056
SA1056-A95635A-R12-C34	B	SA1056
SA1056-A95635A-R12-C35	B	SA1056
SA1056-A95635A-R12-C37	B	SA1056
SA1056-A95635A-R12-C38	B	SA1056
SA1056-A95635A-R12-C44	A	SA1056
SA1056-A95635A-R12-C45	B	SA1056
SA1056-A95635A-R12-C46	B	SA1056
SA1056-A95635A-R12-C47	B	SA1056
SA1056-A95635A-R12-C48	A	SA1056
SA1056-A95635A-R12-C50	A	SA1056
SA1056-A95635A-R12-C51	B	SA1056
SA1056-A95635A-R12-C54	B	SA1056
SA1056-A95635A-R12-C58	A	SA1056
SA1056-A95635A-R12-C60	B	SA1056
SA1056-A95635A-R12-C61	A	SA1056
SA1056-A95635A-R12-C62	B	SA1056
SA1056-A95635A-R12-C64	A	SA1056
SA1056-A95635A-R12-C65	A	SA1056
SA1056-A95635A-R12-C66	B	SA1056
SA1056-A95635A-R12-C68	B	SA1056
SA1056-A95635A-R12-C69	B	SA1056
SA1056-A95635A-R13-C08	A	SA1056
