cell_id	clone_id
SA921-A90554A-R09-C16	A
SA921-A90554A-R09-C17	B
SA921-A90554A-R09-C21	A
SA921-A90554A-R09-C22	A
SA921-A90554A-R09-C24	B
SA921-A90554A-R09-C27	B
SA921-A90554A-R09-C28	A
SA921-A90554A-R09-C30	A
SA921-A90554A-R09-C33	A
SA921-A90554A-R09-C37	A
SA921-A90554A-R09-C40	A
SA921-A90554A-R09-C41	A
SA921-A90554A-R09-C48	C
SA921-A90554A-R09-C49	A
SA921-A90554A-R09-C51	A
SA921-A90554A-R09-C57	C
SA921-A90554A-R09-C58	A
SA921-A90554A-R09-C59	C
SA921-A90554A-R09-C61	C
SA921-A90554A-R09-C65	C
SA921-A90554A-R09-C66	A
SA921-A90554A-R09-C68	C
SA921-A90554A-R10-C09	C
SA921-A90554A-R10-C11	A
SA921-A90554A-R10-C13	B
SA921-A90554A-R10-C14	A
SA921-A90554A-R10-C16	C
SA921-A90554A-R10-C18	C
SA921-A90554A-R10-C22	A
SA921-A90554A-R10-C24	A
SA921-A90554A-R10-C28	C
SA921-A90554A-R10-C30	C
SA921-A90554A-R10-C36	A
SA921-A90554A-R10-C43	C
SA921-A90554A-R10-C44	A
SA921-A90554A-R10-C45	B
SA921-A90554A-R10-C48	C
SA921-A90554A-R10-C49	C
SA921-A90554A-R10-C56	C
SA921-A90554A-R10-C57	C
SA921-A90554A-R10-C58	A
SA921-A90554A-R10-C59	A
SA921-A90554A-R10-C61	A
SA921-A90554A-R10-C62	C
SA921-A90554A-R10-C64	C
SA921-A90554A-R10-C65	A
SA921-A90554A-R10-C68	C
SA921-A90554A-R11-C08	B
SA921-A90554A-R11-C09	B
SA921-A90554A-R11-C11	A
SA921-A90554A-R11-C13	B
SA921-A90554A-R11-C14	A
SA921-A90554A-R11-C16	B
SA921-A90554A-R11-C20	C
SA921-A90554A-R11-C25	C
SA921-A90554A-R11-C26	A
SA921-A90554A-R11-C29	A
SA921-A90554A-R11-C34	A
SA921-A90554A-R11-C35	C
SA921-A90554A-R11-C36	C
SA921-A90554A-R11-C37	B
SA921-A90554A-R11-C38	A
SA921-A90554A-R11-C41	A
SA921-A90554A-R11-C42	B
SA921-A90554A-R11-C44	C
SA921-A90554A-R11-C48	A
SA921-A90554A-R11-C49	A
SA921-A90554A-R11-C50	A
SA921-A90554A-R11-C52	A
SA921-A90554A-R11-C56	B
SA921-A90554A-R11-C57	A
SA921-A90554A-R11-C58	A
SA921-A90554A-R11-C60	C
SA921-A90554A-R11-C64	C
SA921-A90554A-R11-C68	A
SA921-A90554A-R11-C70	A
SA921-A90554A-R12-C10	B
SA921-A90554A-R12-C11	C
SA921-A90554A-R12-C13	C
SA921-A90554A-R12-C14	A
SA921-A90554A-R12-C17	A
SA921-A90554A-R12-C18	B
SA921-A90554A-R12-C19	C
SA921-A90554A-R12-C20	C
SA921-A90554A-R12-C24	A
SA921-A90554A-R12-C25	C
SA921-A90554A-R12-C26	C
SA921-A90554A-R12-C29	C
SA921-A90554A-R12-C32	A
SA921-A90554A-R12-C34	A
SA921-A90554A-R12-C37	A
SA921-A90554A-R12-C41	C
SA921-A90554A-R12-C42	C
SA921-A90554A-R12-C43	C
SA921-A90554A-R12-C45	C
SA921-A90554A-R12-C50	C
SA921-A90554A-R12-C51	C
SA921-A90554A-R12-C56	A
SA921-A90554A-R12-C58	A
SA921-A90554A-R12-C59	A
SA921-A90554A-R12-C60	B
SA921-A90554A-R12-C64	C
SA921-A90554A-R12-C65	A
SA921-A90554A-R12-C69	A
SA921-A90554A-R13-C08	C
SA921-A90554A-R13-C09	C
SA921-A90554A-R13-C10	B
SA921-A90554A-R13-C11	A
SA921-A90554A-R13-C12	C
SA921-A90554A-R13-C14	A
SA921-A90554A-R13-C16	A
SA921-A90554A-R13-C17	A
SA921-A90554A-R13-C18	A
SA921-A90554A-R13-C19	C
SA921-A90554A-R13-C20	A
SA921-A90554A-R13-C22	C
SA921-A90554A-R13-C26	B
SA921-A90554A-R13-C27	A
SA921-A90554A-R13-C28	A
SA921-A90554A-R13-C30	C
SA921-A90554A-R13-C34	C
SA921-A90554A-R13-C35	A
SA921-A90554A-R13-C37	A
SA921-A90554A-R13-C40	A
SA921-A90554A-R13-C41	C
SA921-A90554A-R13-C42	A
SA921-A90554A-R13-C43	C
SA921-A90554A-R13-C44	B
SA921-A90554A-R13-C45	C
SA921-A90554A-R13-C49	A
SA921-A90554A-R13-C50	C
SA921-A90554A-R13-C57	C
SA921-A90554A-R13-C59	C
SA921-A90554A-R13-C61	A
SA921-A90554A-R13-C64	C
SA921-A90554A-R13-C65	A
SA921-A90554A-R13-C67	C
SA921-A90554A-R13-C68	C
SA921-A90554A-R13-C69	A
SA921-A90554A-R14-C07	A
SA921-A90554A-R14-C09	C
SA921-A90554A-R14-C11	A
SA921-A90554A-R14-C12	C
SA921-A90554A-R14-C13	A
SA921-A90554A-R14-C14	A
SA921-A90554A-R14-C16	A
SA921-A90554A-R14-C17	C
SA921-A90554A-R14-C24	C
SA921-A90554A-R14-C25	A
SA921-A90554A-R14-C27	C
SA921-A90554A-R14-C28	C
SA921-A90554A-R14-C30	C
SA921-A90554A-R14-C33	A
SA921-A90554A-R14-C36	A
