index,label,datasetname,timepoint,sample_id,library_id,total_sequenced_cells,cells_post_qc,cells_post_mouse_filter,cells_post_jump,median_nreads_per_cell,std_nreads_per_cell,median_coverage_depth,std_coverage_depth,median_coverage_breadth,std_coverage_breadth,median_quality,std_quality
36,TNBC-SA1035 Rx,SA1035T,X8,SA1035X8XB03425,A98283A,1092,521,386,212,783520.5,446034.1455,0.00112,0.011311111,0.001008084,0.010839604,0.646,0.38852213
37,TNBC-SA1035 UnRx,SA1035U,X8,SA1035X8XB03631,A98253A,1205,556,,301,653566,421439.3465,0.001234,0.012964924,0.001133408,0.012430814,0.556,0.418521785
38,TNBC-SA1035 UnRx,SA1035U,X8,SA1035X8XB03631,A98256A,1326,728,723,323,666581.5,457699.8467,0.0078205,0.011205703,0.007543357,0.010644271,0.876,0.392900822
39,HER2+,SA532,X1,SA532X1XB00118,A96157C,899,274,884,165,429555,1193232.673,0.001381,0.030315463,0.000897339,0.027742507,0.298,0.355845342
40,HER2+,SA532,X2,SA532X2XB00147,A96165A,755,217,267,171,638637,2343114.058,0.009943,0.060524362,0.009189923,0.052248709,0.182,0.408081084
41,HER2+,SA532,X3,SA532X3XB00210,A96179B,1335,446,491,370,105445,580031.1455,0.000356,0.015818146,0.000286648,0.014917856,0.142,0.431233718
42,HER2+,SA532,X3,SA532X3XB00210,A96186C,497,345,495,206,2833487,1580239.92,0.062761,0.038071491,0.057459976,0.033943263,0.996,0.303358394
43,HER2+,SA532,X4,SA532X4XB00273,A95732B,635,436,596,417,2946619,1531509.506,0.075683,0.038546619,0.06924951,0.034678981,0.992,0.403312736
44,HER2+,SA532,X5,SA532X5XB00478,A96174B,1381,372,1158,232,41190,2523631.771,0.000661,0.057250464,0.000646243,0.048851506,0.006,0.425351904
45,HER2+,SA532,X7,SA532X7XB01216,A96177B,648,143,214,125,33733.5,5484528.627,0.0006745,0.086891358,0.000658603,0.069859767,0.006,0.394009572
46,HER2+,SA532,X8,SA532X8XB01398,A96145A,612,287,423,250,673559.5,2570608.6,0.0161275,0.064482985,0.015418276,0.056120774,0.67,0.4051698
47,HER2+,SA532,X9,SA532X9XB02755,A96162B,1247,700,801,464,673246,634703.2871,0.011074,0.015900355,0.010699577,0.014923887,0.892,0.398911619
48,TNBC-SA535 Holiday,SA535_CISPLATIN_CombinedH,X10,SA535X10XB03693,A118869A,1124,524,,350,612455.5,688985.5334,0.0023975,0.018822682,0.002185528,0.017886438,0.481,0.464156273
49,TNBC-SA535 Rx,SA535_CISPLATIN_CombinedT,X10,SA535X10XB03696,A118869B,1076,434,,272,459655.5,696032.9468,0.009181,0.018235334,0.00888097,0.017235152,0.49,0.406697646
50,TNBC-SA535 UnRx,SA535_CISPLATIN_CombinedU,X5,SA535X5XB02895,A96233A,612,736,520,242,3016830,2078033.532,0.0507265,0.041726952,0.047234746,0.038150462,0.962,0.423243109
51,TNBC-SA535 UnRx,SA535_CISPLATIN_CombinedU,X6,SA535X6XB03099,A98285A,1379,1034,1111,321,261926,1628032.596,0.002623,0.030129801,0.002387819,0.027756173,0.15,0.444896312
52,TNBC-SA535 Rx,SA535_CISPLATIN_CombinedT,X6,SA535X6XB03101,A98253B,1343,544,,243,545818,493302.6308,0.014054,0.012318447,0.013635029,0.011704389,0.43,0.432214149
53,TNBC-SA535 Rx,SA535_CISPLATIN_CombinedT,X6,SA535X6XB03101,A98256B,1385,534,1050,229,177543,1391870.712,0.001902,0.032557548,0.001725589,0.029936803,0.072,0.457232984
54,TNBC-SA535 Rx,SA535_CISPLATIN_CombinedT,X7,SA535X7XB03304,A108833B,466,161,,114,133920.5,1427103.022,0.0017475,0.035419564,0.001579773,0.032941055,0.038,0.447357244
55,TNBC-SA535 Rx,SA535_CISPLATIN_CombinedT,X7,SA535X7XB03304,A108851B,1631,466,1472,209,456359,705891.1838,0.002529,0.020853463,0.002342914,0.019719601,0.314,0.359124697
56,TNBC-SA535 Holiday,SA535_CISPLATIN_CombinedH,X7,SA535X7XB03305,A108757B,1595,666,,328,397522,1053127.869,0.003737,0.027419786,0.003510519,0.025741392,0.274,0.462827332
57,TNBC-SA535 Holiday,SA535_CISPLATIN_CombinedH,X7,SA535X7XB03305,A108768B,1089,344,,201,68373,855873.4821,0.001151,0.020917834,0.001112199,0.01970374,0.022,0.444358899
58,TNBC-SA535 UnRx,SA535_CISPLATIN_CombinedU,X7,SA535X7XB03448,A108870A,1741,1078,,446,14698,678508.7656,0.000506,0.023822554,0.000493529,0.022522592,0,0.455373069
59,TNBC-SA535 Rx,SA535_CISPLATIN_CombinedT,X8,SA535X8XB03431,A108837A,1381,526,,319,947384,607058.8494,0.016033,0.019072411,0.015351571,0.018143363,0.408,0.339846928
60,TNBC-SA535 Rx,SA535_CISPLATIN_CombinedT,X8,SA535X8XB03431,A108863A,1251,448,,195,440685,1357561.702,0.007532,0.036377771,0.00735775,0.033560532,0.374,0.412078334
61,TNBC-SA535 Holiday,SA535_CISPLATIN_CombinedH,X8,SA535X8XB03434,A108879A,1511,821,,457,1245270,975867.4285,0.027975,0.022773996,0.026696675,0.021388749,0.944,0.457874778
62,TNBC-SA535 UnRx,SA535_CISPLATIN_CombinedU,X8,SA535X8XB03664,A108759B,1085,778,,305,161665,656178.0484,0.001165,0.023118817,0.001097587,0.021832721,0.166,0.448526028
63,TNBC-SA535 Holiday,SA535_CISPLATIN_CombinedH,X9,SA535X9XB03616,A98168B,1239,698,668,292,1129555,841880.5424,0.001764,0.022484383,0.001586228,0.021148426,0.902,0.385398423
64,TNBC-SA535 Rx,SA535_CISPLATIN_CombinedT,X9,SA535X9XB03617,A98168A,1248,434,488,117,929098,1145924.266,0.001308,0.024345378,0.001158885,0.02262215,0.347,0.398899103
65,TNBC-SA535 Rx,SA535_CISPLATIN_CombinedT,X9,SA535X9XB03617,A98244A,949,251,,33,286902,508606.7237,0.000583,0.013419779,0.000542803,0.012697063,0.298,0.385302407
66,TNBC-SA535 UnRx,SA535_CISPLATIN_CombinedU,X9,SA535X9XB03776,A118845B,1167,310,,197,64872,1095161.044,0.001044,0.024681709,0.001024071,0.022999323,0.032,0.41845922
67,TNBC-SA609 UnRx Line 1,SA609,X10,SA609X10XB02454,A96219B,1667,1268,1304,590,1082205,532036.0353,0.02952,0.016228949,0.028391059,0.015458837,0.98,0.344635315
68,TNBC-SA609 UnRx Line 1,SA609,X1,SA609X1XB00290,A96172A,1409,788,1051,389,571395,331847.4088,0.015993,0.009522308,0.01551616,0.009182242,0.826,0.387362734
69,TNBC-SA609 UnRx Line 1,SA609,X2,SA609X2XB00426,A96149A,717,368,694,243,1339753,1011794.836,0.020294,0.024385547,0.018965893,0.022930396,0.798,0.356555463
70,TNBC-SA609 Mixture a,SA609X3X8a,X0,SA609X3X8MB03073,A96244A,1320,436,915,329,1364428.5,994808.1831,0.037107,0.024151741,0.035413371,0.022551696,0.422,0.387087737
71,TNBC-SA609 Mixture a,SA609X3X8a,X1,SA609X3X8XB03074,A96205A,1845,1011,1545,637,1105726,624854.6815,0.029249,0.016633757,0.027987393,0.015796574,0.866,0.406007928
72,TNBC-SA609 Mixture b,SA609X3X8bU,X1,SA609X3X8XB03076,A96192B,1270,855,1093,562,1327571.5,551113.9983,0.037291,0.017194341,0.03553421,0.01609067,0.966,0.299244778
73,TNBC-SA609 Mixture a,SA609X3X8a,X2,SA609X3X8XB03176,A95628B,1287,190,379,68,422436,1506625.177,0.001046,0.035639722,0.000843836,0.031817599,0.308,0.312223569
74,TNBC-SA609 Mixture b,SA609X3X8bU,X2,SA609X3X8XB03179,A95654B,1680,617,1483,514,960858.5,670013.5213,0.0210265,0.020706234,0.020293319,0.019632886,0.467,0.362817761
75,TNBC-SA609 Mixture a,SA609X3X8a,X3,SA609X3X8XB03241,A95673A,1177,292,53,216,465788,1313290.872,0.008696,0.022719044,0.008549664,0.020489671,0.25,0.360461408
76,TNBC-SA609 Mixture b,SA609X3X8bU,X3,SA609X3X8XB03242,A96115A,1585,713,1380,467,1083003,505458.5558,0.026594,0.013101988,0.025646606,0.012520343,0.61,0.357589108
77,TNBC-SA609 Mixture a,SA609X3X8a,X4,SA609X3X8XB03300,A95618A,824,609,762,465,2336865.5,1183549.723,0.053588,0.027880887,0.050792418,0.025917725,0.994,0.360145074
78,TNBC-SA609 Mixture b,SA609X3X8bU,X4,SA609X3X8XB03302,A96115B,1163,664,1092,600,1733220,803216.0359,0.045845,0.022405069,0.043579451,0.021009784,0.894,0.342368424
79,TNBC-SA609 Mixture b,SA609X3X8bU,X5,SA609X3X8XB03375,A98289A,1032,468,945,383,1902404.5,711115.8615,0.0525865,0.021145188,0.049776963,0.019567762,0.665,0.313204404
80,TNBC-SA609 UnRx Line 1,SA609,X3,SA609X3XB01584,A95724A,480,198,233,171,98774,559035.1028,0.0006295,0.010680972,0.000575531,0.01032422,0.035,0.466399631
