datatag	sample_id	library_id	pseudobulk	aln_jira_ticket	aln_lane_complete	aln_lane_set	mem_jira_ticket	mem_lane_complete	mem_lane_set	aln_version	aln_cell_count	mem_version	mem_cell_count
SA1101b	SA1101	A95700A	included	SC-2474	TRUE	H2FC5CCX2_2	SC-2756	TRUE	H2FC5CCX2_2	v0.2.25	1172	v0.3.1	1172
SA1101b	SA1101	A95723A	included	SC-2505	TRUE	H2FWFCCX2_8	SC-2757	TRUE	H2FWFCCX2_8	v0.2.25	1303	v0.3.1	1303
SA1101b	SA1101	A96114A	included	SC-2100	FALSE	AHKK3YAFXY_1,AHKK3YAFXY_2,AHKK3YAFXY_3,AHKK3YAFXY_4	SC-3223	TRUE	AHFK7FBGXC_1,AHFK7FBGXC_2,AHFK7FBGXC_3,AHFK7FBGXC_4,AHKK3YAFXY_1,AHKK3YAFXY_2,AHKK3YAFXY_3,AHKK3YAFXY_4	v0.2.15		v0.5.3	798
SA1101b	SA1101	A96118A	included	SC-2197	TRUE	H23GKCCX2_7	SC-2761	TRUE	H23GKCCX2_7	v0.2.20		v0.3.1	1193
SA1101b	SA1101	A96120A	included	SC-2043	TRUE	AHYG3GBGX9_1,AHYG3GBGX9_2,AHYG3GBGX9_3,AHYG3GBGX9_4	SC-2760	TRUE	AHYG3GBGX9_1,AHYG3GBGX9_2,AHYG3GBGX9_3,AHYG3GBGX9_4	v0.2.11		v0.3.1	1143
SA1101b	SA1101	A96124B	included	SC-2150	FALSE	H23LTCCX2_8	SC-3262	TRUE	H23LTCCX2_8,H73TKCCX2_1	v0.2.19		v0.5.4	1241
SA1101b	SA1101	A96190A	included	SC-1799	FALSE	HWJ37CCXY_2	SC-3242	TRUE	H73TLCCX2_6,HWJ37CCXY_2	v0.2.7		v0.5.4	1833
SA1101b	SA1101	A96233B	included	SC-1811	FALSE	HTCCJCCXY_6	SC-3236	TRUE	H73TLCCX2_4,HTCCJCCXY_6	v0.2.7		v0.5.4	1601
SA1101b	SA1101	A98271A	included				SC-2831	TRUE	H3JNJCCX2_6			v0.3.1	1190
SA1101b	SA1101	A98274B	included	SC-2560	FALSE	H3733CCX2_5	SC-3249	TRUE	H3733CCX2_5,H73TKCCX2_5	v0.3.1	1295	v0.5.4	1295
SA1101b	SA1101	A98295B	included				SC-3090	TRUE	H3MNNCCX2_5			v0.3.1	1381
													
SA906bMix2	SA039Mx2SA906b0	A98254A					SC-3143	TRUE	H5W52CCX2_3			v0.5.2	1490
SA906bMix2	SA039Mx2SA906b1	A98172A					SC-3450	TRUE	H7FJFCCX2_6			v0.5.14	898
SA906bMix2	SA039Mx2SA906b5	A108735A					SC-3906	TRUE	AHC5H5AFX2_1,AHC5H5AFX2_2,AHC5H5AFX2_3,AHC5H5AFX2_4			v0.6.10	714
SA535_CISPLATIN_CombinedH	SA535X10XB03693	A118869A					SC-4256	TRUE	HCGCWCCX2_6			v0.6.18	1165
SA535_CISPLATIN_CombinedT	SA535X10XB03696	A118869B					SC-4254	TRUE	HCGCWCCX2_7			v0.6.18	1124
SA535_CISPLATIN_CombinedU	SA535X9XB03776	A118845B					SC-4258	TRUE	HCHYYCCX2_1			v0.6.18	1209
SA000	SA609X4XB003083	A95720A		SC-2920	TRUE	H25LKCCX2_8,HWJTGCCXY_7	SC-3187	TRUE	H25LKCCX2_8,HWJTGCCXY_7	v0.3.1	1467	v0.5.2	1467
SA609U1	SA609X4XB01722	A110618B					SC-4303	TRUE	HCHY2CCX2_2			v0.6.18	1047
SA609R2	SA609X5XB03226	A110621A					SC-4338	TRUE	HFCT5CCX2_6			v0.6.18	1137
SA609R2	SA609X6XB03387	A118833B					SC-4266	TRUE	HCHV5CCX2_8			v0.6.18	1147
SA609R1	SA609X6XB03400	A110673A					SC-4340	TRUE	HFCT5CCX2_7			v0.6.18	1089
SA609H1	SA609X6XB03402	A110632A					SC-4300	TRUE	HCHY2CCX2_3			v0.6.18	1151
SA609R1	SA609X7XB03506	A110673B					SC-4341	TRUE	HFCT5CCX2_8			v0.6.18	1153
SA609H1	SA609X7XB03508	A110632B					SC-4304	TRUE	HCHY2CCX2_6			v0.6.18	892
SA609U2	SA609X7XB03556	A118833A					SC-4299	TRUE	HCHM5CCX2_6			v0.6.18	919
SA609R2	SA609X7XB03573	A118830A					SC-4263	TRUE	HCGCWCCX2_8			v0.6.18	912
SA609H2	SA609X7XB03574	A118862B					SC-4297	TRUE	HCHM5CCX2_7			v0.6.18	1152
SA609R2	SA609X7XB03578	A118862A					SC-4302	TRUE	HCHM5CCX2_8			v0.6.18	1070
SA609U1	SA609X8XB02311	A110618A					SC-4305	TRUE	HCHY2CCX2_7			v0.6.18	1184
