datatag	sample_id	library_id	pseudobulk	aln_jira_ticket	aln_lane_complete	aln_lane_set	mem_jira_ticket	mem_lane_complete	mem_lane_set	aln_version	aln_cell_count	mem_version	mem_cell_count
SA609aRx8p	SA609X6XB01900	A95635B	included	SC-1889	TRUE	CBTR7ANXX_2,HWHW3CCXY_2	SC-2592	TRUE	CBTR7ANXX_2,HWHW3CCXY_2	v0.2.11		v0.3.1	593
SA609bRx8p	SA609X4XB01729	A95635D	included	SC-1892	TRUE	CBTR7ANXX_1,HWHW3CCXY_1	SC-2593	TRUE	CBTR7ANXX_1,HWHW3CCXY_1	v0.2.11		v0.3.1	367
SA609X3X8a	SA609X3X8MB03073	A96244A	included	SC-3148	TRUE	H3VHCCCX2_8,HWJ37CCXY_7	SC-3027	TRUE	H3VHCCCX2_8,HWJ37CCXY_7	v0.5.2	1374	v0.3.1	1374
SA609X3X8a	SA609X3X8XB03074	A96205A	included	SC-1806	FALSE	HWKVJCCXY_7	SC-3029	TRUE	H3NM5CCX2_3,HWKVJCCXY_7	v0.2.7		v0.3.1	1907
SA609X3X8b	SA609X3X8XB03076	A96192B	included	SC-3150	TRUE	H3NM5CCX2_2,HWKVJCCXY_4	SC-3020	TRUE	H3NM5CCX2_2,HWKVJCCXY_4	v0.5.2	1304	v0.3.1	1304
SA609X3X8a	SA609X3X8XB03174	A95654A	included	SC-2018	FALSE	HWNG3CCXY_8	SC-3024	TRUE	H3NM5CCX2_4,HWNG3CCXY_8	v0.2.11		v0.3.1	901
SA609X3X8a	SA609X3X8XB03174	A95707A	included	SC-3152	TRUE	H2FT3CCX2_6,H3NM5CCX2_7	SC-3059	TRUE	H2FT3CCX2_6,H3NM5CCX2_7	v0.5.2	1359	v0.3.1	1359
SA609X3X8a	SA609X3X8XB03176	A95628B	included	SC-3153	TRUE	H3NM5CCX2_5,HWTLGCCXY_8	SC-3036	TRUE	H3NM5CCX2_5,HWTLGCCXY_8	v0.5.2	1335	v0.3.1	1335
SA609X3X8b	SA609X3X8XB03179	A95654B	included	SC-2036	FALSE	HYFKNCCXY_7	SC-3034	TRUE	H3NM5CCX2_6,HYFKNCCXY_7	v0.2.11		v0.3.1	1740
SA609X3X8a	SA609X3X8XB03241	A95673A	included	SC-1915	TRUE	AHYFKCBGX9_1,AHYFKCBGX9_2,AHYFKCBGX9_3,AHYFKCBGX9_4,AHYHFGBGX9_1,AHYHFGBGX9_2,AHYHFGBGX9_3,AHYHFGBGX9_4	SC-2600	TRUE	AHYFKCBGX9_1,AHYFKCBGX9_2,AHYFKCBGX9_3,AHYFKCBGX9_4,AHYHFGBGX9_1,AHYHFGBGX9_2,AHYHFGBGX9_3,AHYHFGBGX9_4	v0.2.11		v0.3.1	1446
SA609X3X8b	SA609X3X8XB03242	A95665A	included										
SA906a	SA906	A96180B	included	SC-1514	TRUE	HL32JCCXY_8,HMFCNCCXY_7	SC-2602	TRUE	HL32JCCXY_8,HMFCNCCXY_7	v0.0.0		v0.3.1	1189
SA906a	SA906	A96210C	included	SC-3155	TRUE	H3N2NCCX2_5,HNJTCCCXY_8	SC-3023	TRUE	H3N2NCCX2_5,HNJTCCCXY_8	v0.5.2	1191	v0.3.1	1191
SA906a	SA906	A96216A	included	SC-1636	TRUE	HN5V3CCXY_7	SC-2604	TRUE	HN5V3CCXY_7	v0.0.0		v0.3.1	1001
SA906a	SA906	A96175C	included	SC-1512	TRUE	HLLL5CCXY_7,HMFLCCCXY_8	SC-2605	TRUE	HLLL5CCXY_7,HMFLCCCXY_8	v0.0.0		v0.3.1	1473
SA906a	SA906	A96183C	included	SC-3156	TRUE	H3N2NCCX2_4,HNJTCCCXY_7	SC-3022	TRUE	H3N2NCCX2_4,HNJTCCCXY_7	v0.5.2	1036	v0.3.1	1036
SA906a	SA906	A96186A	included	SC-3157	TRUE	H3N2NCCX2_2,HNK3WCCXY_5	SC-3025	TRUE	H3N2NCCX2_2,HNK3WCCXY_5	v0.5.2	850	v0.3.1	850
SA906a	SA906	A96146A	included	SC-1623	TRUE	HN7H2CCXY_7	SC-2608	TRUE	HN7H2CCXY_7	v0.0.0		v0.3.1	1195
SA906b	SA906	A96215A	included	SC-1962	TRUE	HLYLFCCXY_6,HMFKCCCXY_4	SC-2609	TRUE	HLYLFCCXY_6,HMFKCCCXY_4	v0.2.11		v0.3.1	1312
SA906b	SA906	A96211C	included	SC-1523	TRUE	HM2TGCCXY_7,HMW2GCCXY_8	SC-2610	TRUE	HM2TGCCXY_7,HMW2GCCXY_8	v0.0.0		v0.3.1	1397
SA906b	SA906	A96172B	included	SC-3158	TRUE	H3N2NCCX2_1,HNK3WCCXY_4	SC-3026	TRUE	H3N2NCCX2_1,HNK3WCCXY_4	v0.5.2	1694	v0.3.1	1694
SA906b	SA906	A96155B	included	SC-3159	TRUE	H3N2NCCX2_3,HNJTCCCXY_6	SC-3028	TRUE	H3N2NCCX2_3,HNJTCCCXY_6	v0.5.2	1028	v0.3.1	1028
SA906b	SA906	A96220B	included	SC-1625	TRUE	HN5VLCCXY_8	SC-2613	TRUE	HN5VLCCXY_8	v0.0.0		v0.3.1	1267
SA906b	SA906	A96228B	included	SC-3160	TRUE	H3VHCCCX2_6,HT5T3CCXY_6	SC-3009	TRUE	H3VHCCCX2_6,HT5T3CCXY_6	v0.5.2	1125	v0.3.1	1125
SA906b	SA906	A96149B	included	SC-3161	TRUE	H3N2NCCX2_8,HT5T3CCXY_5	SC-3021	TRUE	H3N2NCCX2_8,HT5T3CCXY_5	v0.5.2	1792	v0.3.1	1792
SA609X3X8a	SA609X3X8XB03300	A95618A	included	SC-3162	TRUE	AHYFN2BGX9_1,AHYFN2BGX9_2,AHYFN2BGX9_3,AHYFN2BGX9_4,H5VMFCCX2_6	SC-3123	TRUE	AHYFN2BGX9_1,AHYFN2BGX9_2,AHYFN2BGX9_3,AHYFN2BGX9_4,H5VMFCCX2_6	v0.5.2	876	v0.5.2	876
SA609X3X8a	SA609X3X8XB03373	A98269B	included	SC-3163	TRUE	H35YYCCX2_8,H3NM5CCX2_8	SC-3046	TRUE	H35YYCCX2_8,H3NM5CCX2_8	v0.5.2	1609	v0.3.1	1609
SA039	SA039	A73044B	excluded	SC-1493	TRUE	CBKN9ANXX_7,HF7KHCCXY_1	SC-3439	TRUE	CBKN9ANXX_7,HF7KHCCXY_1	v0.2.25	2085	v0.5.14	2085
SA039	SA039	A96199B	excluded	SC-3164	TRUE	H3VHCCCX2_5,HN5CTCCXY_8	SC-3008	TRUE	H3VHCCCX2_5,HN5CTCCXY_8	v0.5.2	1170	v0.3.1	1170
SA039	SA039	A73047D	excluded	SC-1495	TRUE	CBKN9ANXX_8,HF5NFCCXY_6,HF5NFCCXY_7,HF5NFCCXY_8,HF7KHCCXY_2	SC-2619	TRUE	CBKN9ANXX_8,HF5NFCCXY_6,HF5NFCCXY_7,HF5NFCCXY_8,HF7KHCCXY_2	v0.2.25	2091	v0.3.1	2091
SA039	SA039	A96226B	excluded	SC-3165	TRUE	H3VHCCCX2_7,HT5T3CCXY_8	SC-3019	TRUE	H3VHCCCX2_7,HT5T3CCXY_8	v0.5.2	1274	v0.3.1	1274
SA609X4XB03083	SA609X4XB03083	A95720A	included	SC-2920	TRUE	H25LKCCX2_8,HWJTGCCXY_7	SC-3187	TRUE	H25LKCCX2_8,HWJTGCCXY_7	v0.3.1	1467	v0.5.2	1467
SA000	SA609X5XB03230	A98289B	included	SC-3166	TRUE	H3FGLCCX2_7,H3NMMCCX2_4	SC-3049	TRUE	H3FGLCCX2_7,H3NMMCCX2_4	v0.5.11	1032	v0.3.1	1032
SA000	SA609X6XB03404	A98284A	included	SC-2922	FALSE	H3FFFCCX2_8	SC-3140	TRUE	H3FFFCCX2_8,H3W53CCX2_7	v0.3.1	1265	v0.5.7	1265
SA000	SA609X7XB03505	A98293B	included	SC-3175	TRUE	H5LHNCCX2_6	SC-3096	TRUE	H5LHNCCX2_6	v0.5.2	703	v0.3.1	703
SA000	SA609X7XB03505	A98176A	included				SC-3271	TRUE	H5W22CCX2_2			v0.5.5	1003
SA001	SA609X4XB03080	A95675A	excluded	SC-3167	TRUE	H3NMGCCX2_8,HWJTGCCXY_8	SC-3032	TRUE	H3NMGCCX2_8,HWJTGCCXY_8	v0.5.2	668	v0.3.1	668
SA001	SA609X5XB03223	A98304B	excluded										
SA001	SA609X5XB03231	A98294A	included	SC-3179	TRUE	H3FGLCCX2_8,H3NMMCCX2_5	SC-3043	TRUE	H3FGLCCX2_8,H3NMMCCX2_5	v0.5.2	994	v0.3.1	994
SA001	SA609X6XB03401	A98284B	included	SC-3180	TRUE	H3FFFCCX2_7,H3W53CCX2_8	SC-3039	TRUE	H3FFFCCX2_7,H3W53CCX2_8	v0.5.2	1582	v0.3.1	1582
SA001	SA609X7XB03510	A98176B	included				SC-3350	TRUE	H5W22CCX2_3,H7775CCX2_7			v0.5.8	1389
SA001	SA609X5XB03223	A98304A	excluded	SC-3181	TRUE	H3FHFCCX2_6,H3NMMCCX2_7	SC-3056	TRUE	H3FHFCCX2_6,H3NMMCCX2_7	v0.5.11	1560	v0.3.1	1560
SA609X3X8b	SA609X3X8XB03375	A98289A	included				SC-3194	TRUE	H3FGLCCX2_6,H5VYYCCX2_8			v0.5.3	1066
SA609X3X8b	SA609X3X8XB03302	A96115B	included	SC-3168	TRUE	H2FWWCCX2_6,H3NMMCCX2_2	SC-3044	TRUE	H2FWWCCX2_6,H3NMMCCX2_2	v0.5.2	1201	v0.3.1	1201
SA609X3X8b	SA609X3X8XB03242	A96115A	included	SC-3169	TRUE	AHGL5FBGXB_1,AHGL5FBGXB_2,AHGL5FBGXB_3,AHGL5FBGXB_4,H5VMFCCX2_5	SC-3127	TRUE	AHGL5FBGXB_1,AHGL5FBGXB_2,AHGL5FBGXB_3,AHGL5FBGXB_4,H5VMFCCX2_5	v0.5.2	1635	v0.5.2	1635
													
SA1035	SA1035X4XB02879	A95626A	included	SC-2308	FALSE	H2FWWCCX2_2	SC-3141	TRUE	H2FWWCCX2_2,H3NMGCCX2_2	v0.2.25	1040	v0.5.2	1040
SA1035	SA1035X4XB02879	A95646A	included	SC-2228	FALSE	AHKVNLAFXY_1,AHKVNLAFXY_2,AHKVNLAFXY_3,AHKVNLAFXY_4	SC-3861	TRUE	AHKVNLAFXY_1,AHKVNLAFXY_2,AHKVNLAFXY_3,AHKVNLAFXY_4,H7FTLCCX2_4	v0.2.20		v0.6.3	1071
SA1035	SA1035X5XB03015	A95623A	included	SC-2198	FALSE	HWNKTCCXY_5	SC-3086	TRUE	H3WKFCCX2_3,HWNKTCCXY_5	v0.2.20		v0.3.1	1897
SA1035	SA1035X5XB03021	A95731B	included	SC-2059	FALSE	HYCJJCCXY_2	SC-3058	TRUE	H3NMGCCX2_1,HYCJJCCXY_2	v0.2.15		v0.3.1	1307
SA1035	SA1035X6XB03209	A95646B	included	SC-2329	FALSE	H2FWWCCX2_4	SC-3042	TRUE	H2FWWCCX2_4,H3NMMCCX2_1	v0.2.25	507	v0.3.1	507
SA1035	SA1035X6XB03209	A95730A	included	SC-2506	TRUE	H2FM5CCX2_5	SC-2698	TRUE	H2FM5CCX2_5	v0.2.25	739	v0.3.1	739
SA1035	SA1035X6XB03211	A95653B	included	SC-2099	FALSE	HWNKTCCXY_8	SC-3193	TRUE	H5LH5CCX2_4,HWNKTCCXY_8	v0.2.15		v0.5.2	1342
SA1035	SA1035X6XB03216	A95623B	included	SC-2203	FALSE	HWNKTCCXY_6	SC-3053	TRUE	H3WKFCCX2_4,HWNKTCCXY_6	v0.2.20		v0.3.1	1363
SA1035	SA1035X7XB03338	A96178B	included				SC-3075	TRUE	H3CYMCCX2_3,H5LH5CCX2_8			v0.3.1	846
SA1035	SA1035X7XB03340	A96178A	included				SC-2931	TRUE	H3CYMCCX2_4			v0.3.1	788
SA1035	SA1035X7XB03340	A98305A	included	SC-2517	FALSE	H2VNKCCX2_6	SC-3040	TRUE	H2VNKCCX2_6,H3NMMCCX2_3	v0.2.25	986	v0.3.1	986
SA1035	SA1035X8XB03420	A98299B	included				SC-3077	TRUE	H5LHVCCX2_4			v0.3.1	991
SA1035	SA1035X8XB03425	A98282A	included				SC-3045	TRUE	H3FHFCCX2_2,H3NMMCCX2_6			v0.3.1	1198
SA1035	SA1035X8XB03425	A98283A	included				SC-3272	TRUE	H5W22CCX2_4			v0.5.5	1137
SA1035	SA1035X7XB03502	A98290B	included				SC-3354	TRUE	H5VYYCCX2_6,H7775CCX2_8			v0.5.8	869
SA1035	SA1035X8XB03631	A98253A	included				SC-3659	TRUE	H7TLLCCX2_6			v0.5.18	1250
SA1035	SA1035X8XB03631	A98256A	included				SC-3414	TRUE	H7GL2CCX2_5			v0.5.14	1372
SA535_CISPLATIN	SA535X5XB02895	A96233A	included	SC-1810	FALSE	HTCCJCCXY_5	SC-2822	TRUE	H3JFJCCX2_8,HTCCJCCXY_5	v0.2.7		v0.3.1	637
SA535_CISPLATIN	SA535X5XB02895	A96233A	included	SC-1810	FALSE	HTCCJCCXY_5	SC-2822	TRUE	H3JFJCCX2_8,HTCCJCCXY_5	v0.2.7		v0.3.1	637
SA535_CISPLATIN	SA535X6XB03099	A98285A	included				SC-3048	TRUE	H3FFFCCX2_6,H3NMMCCX2_8			v0.3.1	1422
SA535_CISPLATIN	SA535X6XB03099	A98285A	included				SC-3048	TRUE	H3FFFCCX2_6,H3NMMCCX2_8			v0.3.1	1422
SA535_CISPLATIN	SA535X6XB03101	A98253B	included				SC-3663	TRUE	H7TLLCCX2_7			v0.5.18	1388
SA535_CISPLATIN	SA535X6XB03101	A98256B	included				SC-3757	TRUE	H7G2LCCX2_2,H7GL2CCX2_6			v0.5.21	1437
SA535_CISPLATIN	SA535X7XB03304	A108833B	included				SC-3698	TRUE	H7TKWCCX2_1			v0.5.21	866
SA535_CISPLATIN	SA535X7XB03304	A108851B	included				SC-3577	TRUE	H7FMYCCX2_8,H7TFTCCX2_8			v0.5.14	1681
SA535_CISPLATIN	SA535X7XB03305	A108757B	included				SC-3710	TRUE	H7GGLCCX2_8,H7TKYCCX2_2			v0.5.21	1644
SA535_CISPLATIN	SA535X7XB03305	A108768B	included				SC-3799	TRUE	H7FHHCCX2_8			v0.5.21	1126
SA535_CISPLATIN	SA535X8XB03431	A108837A	included				SC-3674	TRUE	H7GKGCCX2_5,H7TKYCCX2_1			v0.5.18	1435
SA535_CISPLATIN	SA535X8XB03431	A108863A	included				SC-3712	TRUE	H7FN2CCX2_6,H7TKYCCX2_3			v0.5.21	1301
SA535_CISPLATIN	SA535X8XB03434	A108879A	included				SC-3717	TRUE	H7TLLCCX2_2,H7TN2CCX2_2			v0.5.18	1567
SA535_CISPLATIN	SA535X7XB03448	A108870A	included				SC-3863	TRUE	H7FHTCCX2_4			v0.6.3	1795
SA535_CISPLATIN	SA535X7XB03448	A108870A	included				SC-3863	TRUE	H7FHTCCX2_4			v0.6.3	1795
SA535_CISPLATIN	SA535X9XB03616	A98168B	included				SC-3588	TRUE	H77C3CCX2_6,H7TFJCCX2_6			v0.5.14	1290
SA535_CISPLATIN	SA535X9XB03617	A98168A	included				SC-3582	TRUE	H77C3CCX2_5,H7TFJCCX2_5			v0.5.14	1294
SA535_CISPLATIN	SA535X9XB03617	A98244A	included				SC-3658	TRUE	H7TLLCCX2_8			v0.5.18	1271
SA535_CISPLATIN	SA535X8XB03664	A108732A	included				SC-3917	TRUE	HC5KFCCX2_4			v0.6.18	1139
SA535_CISPLATIN	SA535X8XB03664	A108732A	included				SC-3917	TRUE	HC5KFCCX2_4			v0.6.18	1139
SA535_CISPLATIN	SA535X8XB03664	A108759B	included				SC-3796	TRUE	H7FGCCCX2_1			v0.5.21	1134
SA535_CISPLATIN	SA535X8XB03664	A108759B	included				SC-3796	TRUE	H7FGCCCX2_1			v0.5.21	1134
SA609UnB	SA609X4XB03080	A95675A	included	SC-3167	TRUE	H3NMGCCX2_8,HWJTGCCXY_8	SC-3032	TRUE	H3NMGCCX2_8,HWJTGCCXY_8	v0.5.2	668	v0.3.1	668
SA609UnB	SA609X5XB03223	A98172B	included				SC-3523	TRUE	H7GKGCCX2_7			v0.5.14	941
SA609UnB	SA609X5XB03223	A98255B	included				SC-3311	TRUE	H73T3CCX2_8,H77LNCCX2_7			v0.5.5	1394
SA609UnB	SA609X6XB03447	A98234B	included				SC-3410	TRUE	H73TKCCX2_6,H7GL2CCX2_7			v0.5.14	1600
SA609UnB	SA609X6XB03447	A98258B	included				SC-3337	TRUE	H73TKCCX2_7,H77F7CCX2_3			v0.5.14	1357
SA609UnB	SA609X7XB03554	A98234A	included				SC-3276	TRUE	H73TKCCX2_8			v0.5.7	1240
SA609IID	SA609X4XB03084	A98257B	included				SC-3408	TRUE	H7572CCX2_7,H7GL2CCX2_8			v0.5.14	1286
SA609IID	SA609X4XB03084	A108846A	included				SC-3576	TRUE	H7GKGCCX2_6,H7TFJCCX2_7			v0.5.14	1670
SA609IID	SA609X5XB03235	A108842A	included				SC-3593	TRUE	H7GKGCCX2_8,H7TLLCCX2_5			v0.5.18	1477
SA609IID	SA609X5XB03235	A108846B	included				SC-3575	TRUE	H7FMVCCX2_8,H7TFJCCX2_8			v0.5.14	1636
SA609UnB	SA609X7XB03556		included										
SA609IID	SA609X7XB03573		included										
SA609IID	SA609X7XB03578		included										
SA609IID	SA609X6XB03387		included										
SA609IID	SA609X5XB03226		included										
SA1101a	SA1101	A96155C	included	SC-1531	TRUE	HNJYHCCXY_7	SC-2753	TRUE	HNJYHCCXY_7	v0.0.0		v0.3.1	1316
SA1101a	SA1101	A96162A	included	SC-1695	TRUE	HT773CCXY_7	SC-2752	TRUE	HT773CCXY_7	v0.2.10		v0.3.1	1505
SA1101a	SA1101	A96181C	included	SC-1533	TRUE	HLL3CCCXY_8,HMFCNCCXY_8	SC-2745	TRUE	HLL3CCCXY_8,HMFCNCCXY_8	v0.0.0		v0.3.1	1216
SA1101a	SA1101	A96183B	included	SC-1535	TRUE	HNJYHCCXY_8	SC-3581	TRUE	HNJYHCCXY_8	v0.0.0		v0.5.14	1191
SA1101a	SA1101	A96193B	included	SC-1802	FALSE	HWJKGCCXY_8	SC-3251	TRUE	H73TLCCX2_8,HWJKGCCXY_8	v0.2.7		v0.5.4	2410
SA1101a	SA1101	A96225B	included	SC-1537	TRUE	HLYLFCCXY_7,HMFKCCCXY_5	SC-2747	TRUE	HLYLFCCXY_7,HMFKCCCXY_5	v0.0.0		v0.3.1	959
SA1101a	SA1101	A96225C	included	SC-1539	TRUE	HLYLFCCXY_8,HMFKCCCXY_6	SC-2748	TRUE	HLYLFCCXY_8,HMFKCCCXY_6	v0.0.0		v0.3.1	1034
SA1101a	SA1101	A96240A	included	SC-1701	FALSE	HT773CCXY_8	SC-3235	TRUE	H73TLCCX2_2,HT773CCXY_8	v0.2.6		v0.5.4	1493
SA1101a	SA1101	A96240B	included	SC-1688	FALSE	HT5TNCCXY_8	SC-3234	TRUE	H73TLCCX2_3,HT5TNCCXY_8	v0.2.6		v0.5.4	1683
SA1101b	SA1101	A95634B	included	SC-1836	FALSE	HWJTGCCXY_6	SC-3253	TRUE	H73TGCCX2_7,HWJTGCCXY_6	v0.2.7		v0.5.4	1335
SA1101b	SA1101	A95663B	included	SC-2035	FALSE	HYFKNCCXY_8	SC-3259	TRUE	H73TGCCX2_8,HYFKNCCXY_8	v0.2.11		v0.5.4	1364
SA1101b	SA1101	A95668B	included	SC-1840	FALSE	HWJKCCCXY_8	SC-3250	TRUE	H73TGCCX2_6,HWJKCCCXY_8	v0.2.7		v0.5.4	1905
SA1101b	SA1101	A95697B	included	SC-2511	TRUE	H2VNKCCX2_5	SC-2755	TRUE	H2VNKCCX2_5	v0.2.25	1233	v0.3.1	1233
