V1,single_cell_id,letters,datatag,sample_id
82,SA609X5XB03230-A98289B-R54-C60,A,SA000,SA609X5XB03230
83,SA609X5XB03230-A98289B-R56-C57,A,SA000,SA609X5XB03230
84,SA609X5XB03230-A98289B-R56-C65,A,SA000,SA609X5XB03230
85,SA609X5XB03230-A98289B-R58-C11,A,SA000,SA609X5XB03230
86,SA609X5XB03230-A98289B-R59-C41,A,SA000,SA609X5XB03230
87,SA609X6XB03404-A98284A-R03-C55,A,SA000,SA609X6XB03404
88,SA609X6XB03404-A98284A-R03-C56,A,SA000,SA609X6XB03404
89,SA609X6XB03404-A98284A-R06-C24,A,SA000,SA609X6XB03404
90,SA609X6XB03404-A98284A-R07-C37,A,SA000,SA609X6XB03404
91,SA609X6XB03404-A98284A-R07-C56,A,SA000,SA609X6XB03404
92,SA609X6XB03404-A98284A-R08-C67,A,SA000,SA609X6XB03404
93,SA609X6XB03404-A98284A-R11-C09,A,SA000,SA609X6XB03404
94,SA609X6XB03404-A98284A-R12-C11,A,SA000,SA609X6XB03404
95,SA609X6XB03404-A98284A-R12-C17,A,SA000,SA609X6XB03404
96,SA609X6XB03404-A98284A-R12-C29,A,SA000,SA609X6XB03404
97,SA609X6XB03404-A98284A-R13-C08,A,SA000,SA609X6XB03404
98,SA609X6XB03404-A98284A-R13-C19,A,SA000,SA609X6XB03404
99,SA609X6XB03404-A98284A-R13-C24,A,SA000,SA609X6XB03404
100,SA609X6XB03404-A98284A-R14-C46,A,SA000,SA609X6XB03404
101,SA609X6XB03404-A98284A-R19-C60,A,SA000,SA609X6XB03404
102,SA609X6XB03404-A98284A-R25-C07,A,SA000,SA609X6XB03404
103,SA609X5XB03230-A98289B-R42-C24,A,SA000,SA609X5XB03230
104,SA609X5XB03230-A98289B-R44-C20,A,SA000,SA609X5XB03230
105,SA609X5XB03230-A98289B-R44-C26,A,SA000,SA609X5XB03230
106,SA609X5XB03230-A98289B-R44-C68,A,SA000,SA609X5XB03230
