"single_cell_id" "letters" "datatag"
"94" "SA609X6XB03404-A98284A-R12-C11" "A" "SA000"
"95" "SA609X6XB03404-A98284A-R12-C17" "A" "SA000"
"96" "SA609X6XB03404-A98284A-R12-C29" "A" "SA000"
"97" "SA609X6XB03404-A98284A-R13-C08" "A" "SA000"
"98" "SA609X6XB03404-A98284A-R13-C19" "A" "SA000"
"99" "SA609X6XB03404-A98284A-R13-C24" "A" "SA000"
"100" "SA609X6XB03404-A98284A-R14-C46" "A" "SA000"
"101" "SA609X6XB03404-A98284A-R19-C60" "A" "SA000"
"102" "SA609X6XB03404-A98284A-R25-C07" "A" "SA000"
"103" "SA609X5XB03230-A98289B-R42-C24" "A" "SA000"
"104" "SA609X5XB03230-A98289B-R44-C20" "A" "SA000"
"105" "SA609X5XB03230-A98289B-R44-C26" "A" "SA000"
"106" "SA609X5XB03230-A98289B-R44-C68" "A" "SA000"
"107" "SA609X5XB03230-A98289B-R44-C70" "A" "SA000"
"108" "SA609X6XB03404-A98284A-R12-C64" "A" "SA000"
"109" "SA609X6XB03404-A98284A-R18-C37" "A" "SA000"
"110" "SA609X5XB03230-A98289B-R41-C31" "A" "SA000"
"111" "SA609X5XB03230-A98289B-R42-C39" "A" "SA000"
"112" "SA609X5XB03230-A98289B-R43-C40" "A" "SA000"
"113" "SA609X5XB03230-A98289B-R45-C22" "A" "SA000"
"114" "SA609X5XB03230-A98289B-R48-C43" "A" "SA000"
"115" "SA609X5XB03230-A98289B-R49-C67" "A" "SA000"
"116" "SA609X5XB03230-A98289B-R53-C65" "A" "SA000"
"117" "SA609X5XB03230-A98289B-R54-C15" "A" "SA000"
"118" "SA609X5XB03230-A98289B-R54-C16" "A" "SA000"
"119" "SA609X5XB03230-A98289B-R54-C50" "A" "SA000"
"120" "SA609X5XB03230-A98289B-R56-C60" "A" "SA000"
"121" "SA609X5XB03230-A98289B-R56-C61" "A" "SA000"
"122" "SA609X6XB03404-A98284A-R04-C61" "A" "SA000"
"123" "SA609X6XB03404-A98284A-R05-C13" "A" "SA000"
"124" "SA609X6XB03404-A98284A-R05-C19" "A" "SA000"
"125" "SA609X6XB03404-A98284A-R06-C37" "A" "SA000"
"126" "SA609X6XB03404-A98284A-R06-C43" "A" "SA000"
"127" "SA609X6XB03404-A98284A-R08-C31" "A" "SA000"
"128" "SA609X6XB03404-A98284A-R08-C48" "A" "SA000"
"129" "SA609X6XB03404-A98284A-R09-C17" "A" "SA000"
"130" "SA609X6XB03404-A98284A-R09-C38" "A" "SA000"
"131" "SA609X6XB03404-A98284A-R10-C30" "A" "SA000"
"132" "SA609X6XB03404-A98284A-R11-C32" "A" "SA000"
"133" "SA609X6XB03404-A98284A-R12-C43" "A" "SA000"
"134" "SA609X6XB03404-A98284A-R14-C69" "A" "SA000"
"135" "SA609X6XB03404-A98284A-R15-C43" "A" "SA000"
"136" "SA609X6XB03404-A98284A-R18-C65" "A" "SA000"
"137" "SA609X5XB03230-A98289B-R42-C14" "A" "SA000"
"138" "SA609X5XB03230-A98289B-R42-C57" "A" "SA000"
"139" "SA609X5XB03230-A98289B-R42-C64" "A" "SA000"
"140" "SA609X5XB03230-A98289B-R47-C28" "A" "SA000"
"141" "SA609X5XB03230-A98289B-R48-C28" "A" "SA000"
"142" "SA609X6XB03404-A98284A-R14-C37" "A" "SA000"
"143" "SA609X5XB03230-A98289B-R48-C63" "A" "SA000"
"144" "SA609X6XB03404-A98284A-R17-C12" "A" "SA000"
"145" "SA609X5XB03230-A98289B-R43-C35" "A" "SA000"
"146" "SA609X5XB03230-A98289B-R47-C59" "A" "SA000"
"147" "SA609X5XB03230-A98289B-R48-C54" "A" "SA000"
"148" "SA609X5XB03230-A98289B-R54-C64" "A" "SA000"
"149" "SA609X6XB03404-A98284A-R03-C14" "A" "SA000"
"150" "SA609X6XB03404-A98284A-R04-C17" "A" "SA000"
"151" "SA609X6XB03404-A98284A-R06-C35" "A" "SA000"
"152" "SA609X6XB03404-A98284A-R07-C25" "A" "SA000"
"153" "SA609X6XB03404-A98284A-R07-C29" "A" "SA000"
"154" "SA609X6XB03404-A98284A-R11-C31" "A" "SA000"
"155" "SA609X6XB03404-A98284A-R14-C14" "A" "SA000"
"156" "SA609X6XB03404-A98284A-R14-C21" "A" "SA000"
"157" "SA609X6XB03404-A98284A-R15-C08" "A" "SA000"
"158" "SA609X6XB03404-A98284A-R17-C09" "A" "SA000"
"159" "SA609X6XB03404-A98284A-R24-C62" "A" "SA000"
"160" "SA609X5XB03230-A98289B-R56-C67" "A" "SA000"
"161" "SA609X5XB03230-A98289B-R58-C39" "A" "SA000"
"162" "SA609X6XB03404-A98284A-R10-C13" "A" "SA000"
"163" "SA609X6XB03404-A98284A-R11-C30" "A" "SA000"
"164" "SA609X6XB03404-A98284A-R11-C41" "A" "SA000"
"165" "SA609X6XB03404-A98284A-R12-C16" "A" "SA000"
"166" "SA609X5XB03230-A98289B-R45-C33" "A" "SA000"
"167" "SA609X5XB03230-A98289B-R46-C50" "A" "SA000"
"168" "SA609X5XB03230-A98289B-R50-C16" "A" "SA000"
"169" "SA609X6XB03404-A98284A-R03-C15" "A" "SA000"
"170" "SA609X6XB03404-A98284A-R03-C60" "A" "SA000"
"171" "SA609X6XB03404-A98284A-R04-C49" "A" "SA000"
"172" "SA609X5XB03230-A98289B-R42-C10" "A" "SA000"
"173" "SA609X5XB03230-A98289B-R44-C07" "A" "SA000"
"174" "SA609X5XB03230-A98289B-R47-C22" "A" "SA000"
"175" "SA609X5XB03230-A98289B-R50-C12" "A" "SA000"
"176" "SA609X5XB03230-A98289B-R50-C15" "A" "SA000"
"177" "SA609X5XB03230-A98289B-R53-C70" "A" "SA000"
"178" "SA609X5XB03230-A98289B-R54-C18" "A" "SA000"
"179" "SA609X5XB03230-A98289B-R54-C41" "A" "SA000"
"180" "SA609X5XB03230-A98289B-R54-C48" "A" "SA000"
"181" "SA609X5XB03230-A98289B-R54-C62" "A" "SA000"
"182" "SA609X5XB03230-A98289B-R56-C55" "A" "SA000"
"183" "SA609X5XB03230-A98289B-R57-C07" "A" "SA000"
"184" "SA609X5XB03230-A98289B-R57-C16" "A" "SA000"
"185" "SA609X5XB03230-A98289B-R57-C70" "A" "SA000"
"186" "SA609X5XB03230-A98289B-R58-C07" "A" "SA000"
"187" "SA609X5XB03230-A98289B-R58-C50" "A" "SA000"
"188" "SA609X5XB03230-A98289B-R59-C64" "A" "SA000"
"189" "SA609X6XB03404-A98284A-R05-C68" "A" "SA000"
"190" "SA609X6XB03404-A98284A-R06-C09" "A" "SA000"
"191" "SA609X6XB03404-A98284A-R06-C33" "A" "SA000"
"192" "SA609X6XB03404-A98284A-R07-C48" "A" "SA000"
"193" "SA609X6XB03404-A98284A-R07-C54" "A" "SA000"
"194" "SA609X6XB03404-A98284A-R08-C55" "A" "SA000"
"195" "SA609X6XB03404-A98284A-R08-C56" "A" "SA000"
"196" "SA609X6XB03404-A98284A-R09-C45" "A" "SA000"
"197" "SA609X6XB03404-A98284A-R09-C55" "A" "SA000"
"198" "SA609X6XB03404-A98284A-R11-C47" "A" "SA000"
"199" "SA609X6XB03404-A98284A-R12-C68" "A" "SA000"
"200" "SA609X6XB03404-A98284A-R12-C70" "A" "SA000"
"201" "SA609X6XB03404-A98284A-R13-C09" "A" "SA000"
"202" "SA609X6XB03404-A98284A-R14-C07" "A" "SA000"
"203" "SA609X6XB03404-A98284A-R16-C49" "A" "SA000"
"204" "SA609X6XB03404-A98284A-R17-C35" "A" "SA000"
"205" "SA609X6XB03404-A98284A-R18-C61" "A" "SA000"
"206" "SA609X6XB03404-A98284A-R20-C15" "A" "SA000"
"207" "SA609X6XB03404-A98284A-R24-C17" "A" "SA000"
"208" "SA609X6XB03404-A98284A-R24-C31" "A" "SA000"
"209" "SA609X5XB03230-A98289B-R43-C15" "A" "SA000"
"210" "SA609X5XB03230-A98289B-R44-C23" "A" "SA000"
"211" "SA609X5XB03230-A98289B-R45-C27" "A" "SA000"
"212" "SA609X5XB03230-A98289B-R45-C69" "A" "SA000"
"213" "SA609X5XB03230-A98289B-R47-C25" "A" "SA000"
"214" "SA609X5XB03230-A98289B-R47-C64" "A" "SA000"
"215" "SA609X5XB03230-A98289B-R50-C55" "A" "SA000"
"216" "SA609X5XB03230-A98289B-R51-C16" "A" "SA000"
"217" "SA609X5XB03230-A98289B-R59-C50" "A" "SA000"
"218" "SA609X6XB03404-A98284A-R03-C65" "A" "SA000"
"219" "SA609X6XB03404-A98284A-R05-C25" "A" "SA000"
"220" "SA609X6XB03404-A98284A-R06-C44" "A" "SA000"
"221" "SA609X6XB03404-A98284A-R08-C59" "A" "SA000"
"222" "SA609X6XB03404-A98284A-R12-C25" "A" "SA000"
"223" "SA609X6XB03404-A98284A-R12-C48" "A" "SA000"
"224" "SA609X6XB03404-A98284A-R15-C29" "A" "SA000"
"225" "SA609X5XB03230-A98289B-R41-C54" "A" "SA000"
"226" "SA609X5XB03230-A98289B-R41-C68" "A" "SA000"
"227" "SA609X5XB03230-A98289B-R43-C20" "A" "SA000"
"228" "SA609X5XB03230-A98289B-R43-C37" "A" "SA000"
"229" "SA609X5XB03230-A98289B-R48-C26" "A" "SA000"
"230" "SA609X5XB03230-A98289B-R49-C18" "A" "SA000"
"231" "SA609X5XB03230-A98289B-R49-C48" "A" "SA000"
"232" "SA609X5XB03230-A98289B-R51-C28" "A" "SA000"
"233" "SA609X5XB03230-A98289B-R55-C42" "A" "SA000"
"234" "SA609X5XB03230-A98289B-R57-C14" "A" "SA000"
"235" "SA609X5XB03230-A98289B-R57-C37" "A" "SA000"
"236" "SA609X6XB03404-A98284A-R07-C41" "A" "SA000"
"237" "SA609X6XB03404-A98284A-R10-C44" "A" "SA000"
"238" "SA609X5XB03230-A98289B-R42-C70" "A" "SA000"
"239" "SA609X5XB03230-A98289B-R44-C25" "A" "SA000"
"240" "SA609X5XB03230-A98289B-R44-C44" "A" "SA000"
"241" "SA609X5XB03230-A98289B-R47-C65" "A" "SA000"
"242" "SA609X5XB03230-A98289B-R49-C70" "A" "SA000"
"243" "SA609X5XB03230-A98289B-R56-C13" "A" "SA000"
"244" "SA609X5XB03230-A98289B-R57-C40" "A" "SA000"
"245" "SA609X5XB03230-A98289B-R57-C47" "A" "SA000"
"246" "SA609X5XB03230-A98289B-R58-C70" "A" "SA000"
"247" "SA609X6XB03404-A98284A-R09-C20" "A" "SA000"
"248" "SA609X6XB03404-A98284A-R10-C60" "A" "SA000"
"249" "SA609X6XB03404-A98284A-R13-C32" "A" "SA000"
"250" "SA609X5XB03230-A98289B-R41-C24" "A" "SA000"
"251" "SA609X5XB03230-A98289B-R43-C49" "A" "SA000"
"252" "SA609X5XB03230-A98289B-R47-C10" "A" "SA000"
"253" "SA609X5XB03230-A98289B-R49-C42" "A" "SA000"
"254" "SA609X6XB03404-A98284A-R07-C44" "A" "SA000"
"255" "SA609X6XB03404-A98284A-R08-C52" "A" "SA000"
"256" "SA609X6XB03404-A98284A-R13-C12" "A" "SA000"
"257" "SA609X5XB03230-A98289B-R41-C09" "A" "SA000"
"258" "SA609X5XB03230-A98289B-R44-C11" "A" "SA000"
"259" "SA609X5XB03230-A98289B-R44-C30" "A" "SA000"
"260" "SA609X5XB03230-A98289B-R50-C29" "A" "SA000"
"261" "SA609X5XB03230-A98289B-R57-C27" "A" "SA000"
"262" "SA609X5XB03230-A98289B-R58-C58" "A" "SA000"
"263" "SA609X5XB03230-A98289B-R58-C56" "A" "SA000"
"264" "SA609X6XB03404-A98284A-R07-C61" "A" "SA000"
"265" "SA609X6XB03404-A98284A-R08-C40" "A" "SA000"
"266" "SA609X6XB03404-A98284A-R09-C07" "A" "SA000"
"267" "SA609X6XB03404-A98284A-R11-C49" "A" "SA000"
"268" "SA609X6XB03404-A98284A-R19-C68" "A" "SA000"
"269" "SA609X5XB03230-A98289B-R51-C07" "A" "SA000"
"270" "SA609X6XB03404-A98284A-R08-C21" "A" "SA000"
"271" "SA609X6XB03404-A98284A-R08-C63" "A" "SA000"
"272" "SA609X6XB03404-A98284A-R12-C61" "A" "SA000"
"273" "SA609X5XB03230-A98289B-R46-C69" "A" "SA000"
"274" "SA609X5XB03230-A98289B-R51-C26" "A" "SA000"
"275" "SA609X5XB03230-A98289B-R51-C54" "A" "SA000"
"276" "SA609X5XB03230-A98289B-R56-C12" "A" "SA000"
"277" "SA609X6XB03404-A98284A-R08-C30" "A" "SA000"
"278" "SA609X6XB03404-A98284A-R10-C36" "A" "SA000"
"279" "SA609X6XB03404-A98284A-R10-C67" "A" "SA000"
"280" "SA609X6XB03404-A98284A-R11-C33" "A" "SA000"
"281" "SA609X6XB03404-A98284A-R12-C63" "A" "SA000"
"282" "SA609X6XB03404-A98284A-R13-C33" "A" "SA000"
"283" "SA609X6XB03404-A98284A-R14-C17" "A" "SA000"
"284" "SA609X5XB03230-A98289B-R53-C32" "A" "SA000"
"285" "SA609X5XB03230-A98289B-R59-C49" "A" "SA000"
"286" "SA609X6XB03404-A98284A-R10-C55" "A" "SA000"
"287" "SA609X6XB03404-A98284A-R24-C33" "A" "SA000"
"288" "SA609X5XB03230-A98289B-R42-C42" "A" "SA000"
"289" "SA609X5XB03230-A98289B-R43-C13" "A" "SA000"
"290" "SA609X5XB03230-A98289B-R44-C15" "A" "SA000"
"291" "SA609X5XB03230-A98289B-R45-C45" "A" "SA000"
"292" "SA609X5XB03230-A98289B-R47-C61" "A" "SA000"
"293" "SA609X5XB03230-A98289B-R48-C15" "A" "SA000"
"294" "SA609X5XB03230-A98289B-R48-C50" "A" "SA000"
"295" "SA609X5XB03230-A98289B-R49-C19" "A" "SA000"
"296" "SA609X5XB03230-A98289B-R49-C50" "A" "SA000"
"297" "SA609X5XB03230-A98289B-R49-C65" "A" "SA000"
"298" "SA609X5XB03230-A98289B-R50-C36" "A" "SA000"
"299" "SA609X5XB03230-A98289B-R56-C23" "A" "SA000"
"300" "SA609X5XB03230-A98289B-R57-C46" "A" "SA000"
"301" "SA609X5XB03230-A98289B-R59-C37" "A" "SA000"
"302" "SA609X5XB03230-A98289B-R59-C46" "A" "SA000"
"303" "SA609X5XB03230-A98289B-R59-C48" "A" "SA000"
"304" "SA609X6XB03404-A98284A-R03-C07" "A" "SA000"
"305" "SA609X6XB03404-A98284A-R04-C07" "A" "SA000"
"306" "SA609X6XB03404-A98284A-R04-C09" "A" "SA000"
"307" "SA609X6XB03404-A98284A-R04-C11" "A" "SA000"
"308" "SA609X6XB03404-A98284A-R06-C40" "A" "SA000"
"309" "SA609X6XB03404-A98284A-R07-C31" "A" "SA000"
"310" "SA609X6XB03404-A98284A-R09-C22" "A" "SA000"
"311" "SA609X6XB03404-A98284A-R09-C27" "A" "SA000"
"312" "SA609X6XB03404-A98284A-R09-C36" "A" "SA000"
"313" "SA609X6XB03404-A98284A-R10-C65" "A" "SA000"
"314" "SA609X6XB03404-A98284A-R11-C57" "A" "SA000"
"315" "SA609X6XB03404-A98284A-R15-C24" "A" "SA000"
"316" "SA609X6XB03404-A98284A-R15-C63" "A" "SA000"
"317" "SA609X6XB03404-A98284A-R18-C12" "A" "SA000"
